"商品名","分词结果","旧版分词","类别","品牌"
"【BOSSINI】 男 连帽卫衣外套510337140 草绿色","【,BOSSINI,】,男,连,帽,卫衣,外套,510337140,草绿色","bossini,男,连,帽,卫,衣,外套,510337140,草绿色","0-123-16223-16289:服装鞋帽-日常休闲-休闲卫衣","堡狮龙"
"久久木 男款秋冬炫目几何条纹商务休闲polo领羊毛衫 10166 黑色","久久木,男,款,秋冬,炫目,几何,条纹,商务休闲,polo,领,羊毛衫,10166,黑色","久久,木,男,款,秋冬,炫目,几何,条纹,商务,休闲,polo,领,羊毛衫,10166,黑色","0-123-16223-16592:服装鞋帽-日常休闲-休闲毛衫","久久木"
"时尚v领素雅细条纹100%羊毛衫 12075","时尚,v领,素雅,细,条纹,100,%,羊毛衫,12075","时尚,v,领,素雅,细条纹,100,羊毛衫,12075","0-123-16223-16592:服装鞋帽-日常休闲-休闲毛衫","久久木"
"hanakimi 欧美时尚 气质连帽夹克大口袋短外套 超有型 L4370","hanakimi,欧美,时尚,气质,连,帽,夹克,大,口袋,短外套,超,有,型,L4370","hanakimi,欧美,时尚,气质,连,帽,夹克,大,口袋,短,外套,超,l4370","0-123-16223-17062:服装鞋帽-日常休闲-休闲外套",""
"hanakimi女装 韩版时尚双排扣帅气修身风衣YW436 1杏色 S","hanakimi,女装,韩版,时尚,双,排,扣,帅气,修身,风衣,YW436,1,杏,色,S","hanakimi,女装,韩版,时尚,双,排,扣,帅气,修身,风衣,yw436,1,杏,s","0-123-16223-17062:服装鞋帽-日常休闲-休闲外套",""
"2011新款正品CORK勃肯鞋 情侣凉拖鞋防滑软木人字拖男女夹脚拖鞋白40","2011,新款,正品,CORK,勃,肯,鞋,情侣,凉拖鞋,防滑,软木,人字拖,男女,夹,脚,拖鞋,白,40","2011,新款,正品,cork,勃,肯,鞋,情侣,凉,拖鞋,防滑,软木,人字拖,男女,夹,脚,拖鞋,白,40","0-123-16224-16544:服装鞋帽-时尚靓鞋-凉拖","CORK ROCKY STONEY"
"2011新款正品CORK勃肯鞋 软木休闲鞋 情侣包头鞋凉拖鞋光面懒人拖白色38","2011,新款,正品,CORK,勃,肯,鞋,软木,休闲鞋,情侣,包头,鞋,凉拖鞋,光面,懒人,拖,白色,38","2011,新款,正品,cork,勃,肯,鞋,软木,休闲鞋,情侣,包头,鞋,凉,拖鞋,光面,懒人,拖,白色,38","0-123-16224-16544:服装鞋帽-时尚靓鞋-凉拖","CORK ROCKY STONEY"
"2011新款正品CORK勃肯鞋 软木休闲鞋 情侣包头鞋凉拖鞋光面懒人拖白色42","2011,新款,正品,CORK,勃,肯,鞋,软木,休闲鞋,情侣,包头,鞋,凉拖鞋,光面,懒人,拖,白色,42","2011,新款,正品,cork,勃,肯,鞋,软木,休闲鞋,情侣,包头,鞋,凉,拖鞋,光面,懒人,拖,白色,42","0-123-16224-16544:服装鞋帽-时尚靓鞋-凉拖","CORK ROCKY STONEY"
"GE&ZI银扣磨旧牛仔袖口划破修身背心牛仔蓝7127#","GE,&,ZI,银,扣,磨,旧,牛仔,袖口,划破,修身,背心,牛仔,蓝,7127,#","ge,&,zi,银,扣,磨,旧,牛仔,袖口,划破,修身,背心,牛仔,蓝,7127","0-123-19491-19492-19506:服装鞋帽-女装.-女装T恤-女装背心","GE&ZI"
"GE&ZI夏日甜心海军风条纹平口垂摆上衣粉色1304#","GE,&,ZI,夏日,甜,心海,军风,条纹,平,口,垂,摆,上衣,粉色,1304,#","ge,&,zi,夏日,甜,心海,军风,条纹,平,口,垂,摆,上衣,粉色,1304","0-123-19491-19492-19508:服装鞋帽-女装.-女装T恤-女装吊带衫","GE&ZI"
"2011春装新品 街头潮品个性字母搞怪小丑印花长款弧形T恤T00013灰色","2011,春装,新品,街头,潮,品,个性,字母,搞怪,小丑,印花,长款,弧形,T恤,T00013,灰色","2011,春装,新品,街头,潮,品,个性,字母,搞怪,小丑,印花,长,款,弧形,t恤,t00013,灰色","0-123-19491-19492-19509:服装鞋帽-女装.-女装T恤-女装长袖T恤","hanakimi"
