"商品名","分词结果","品牌词","品牌数","类别词","类别数","原始类别","原始品牌","商品CODE","标注类别词"
"传美 132列单层打印纸","传美, 132, 列, 单层, 打印纸","传美","1","打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","9670091","打印纸"
"传美 132列双层打印纸","传美, 132, 列, 双层, 打印纸","传美","1","打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","9670104","打印纸"
"传美 241-1空白 电脑打印纸 80列单层空白","传美, 241-1, 空白, 电脑打印纸, 80, 列, 单层, 空白","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134711","电脑打印纸"
"传美 241-1空白（压线） 电脑打印纸 80列单层空白带压线","传美, 241-1, 空白, （, 压线, ）, 电脑打印纸, 80, 列, 单层, 空, 白带, 压线","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134722","电脑打印纸"
"传美 241-2彩色 电脑打印纸 80列2层彩色","传美, 241-2, 彩色, 电脑打印纸, 80, 列, 2, 层, 彩色","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134755","电脑打印纸"
"传美 241-2彩色二等分 电脑打印纸 80列2层彩色二等分","传美, 241-2, 彩色, 二, 等分, 电脑打印纸, 80, 列, 2, 层, 彩色, 二, 等分","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134799","电脑打印纸"
"传美 241-2彩色二等分（压线） 电脑打印纸 80列2层彩色二等分带压线","传美, 241-2, 彩色, 二, 等分, （, 压线, ）, 电脑打印纸, 80, 列, 2, 层, 彩色, 二等, 分带, 压线","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134802","电脑打印纸"
"传美 241-2彩色（压线） 电脑打印纸 80列2层彩色带压线","传美, 241-2, 彩色, （, 压线, ）, 电脑打印纸, 80, 列, 2, 层, 彩, 色带, 压线","传美","1","电脑打印纸, 色带","2","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134766","电脑打印纸, 色带"
"传美 241-2空白 电脑打印纸 80列2层空白","传美, 241-2, 空白, 电脑打印纸, 80, 列, 2, 层, 空白","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134733","电脑打印纸"
"传美 241-2空白二等分 电脑打印纸 80列2层空白二等分","传美, 241-2, 空, 白二, 等分, 电脑打印纸, 80, 列, 2, 层, 空, 白二, 等分","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134777","电脑打印纸"
"传美 241-2空白二等分（压线） 电脑打印纸 80列2层空白二等分带压线","传美, 241-2, 空, 白二, 等分, （, 压线, ）, 电脑打印纸, 80, 列, 2, 层, 空白, 二等, 分带, 压线","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134788","电脑打印纸"
"传美 241-2空白（压线） 电脑打印纸 80列2层空白带压线","传美, 241-2, 空白, （, 压线, ）, 电脑打印纸, 80, 列, 2, 层, 空, 白带, 压线","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134744","电脑打印纸"
"传美 241-3彩色 电脑打印纸 80列3层彩色","传美, 241-3, 彩色, 电脑打印纸, 80, 列, 3, 层, 彩色","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134835","电脑打印纸"
"传美 241-3彩色（压线） 电脑打印纸 80列3层彩色带压线","传美, 241-3, 彩色, （, 压线, ）, 电脑打印纸, 80, 列, 3, 层, 彩, 色带, 压线","传美","1","电脑打印纸, 色带","2","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134846","电脑打印纸, 色带"
"传美 241-3空白 电脑打印纸 80列3层空白","传美, 241-3, 空白, 电脑打印纸, 80, 列, 3, 层, 空白","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134813","电脑打印纸"
"传美 241-3空白（压线） 电脑打印纸 80列3层空白带压线","传美, 241-3, 空白, （, 压线, ）, 电脑打印纸, 80, 列, 3, 层, 空, 白带, 压线","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134824","电脑打印纸"
