商品名,分词结果,品牌词,品牌数,类别词,类别数,原始类别,原始品牌,商品CODE,标注类别词
传美 241-4空白（压线） 电脑打印纸 80列4层空白带压线,"传美, 241-4, 空白, （, 压线, ）, 电脑打印纸, 80, 列, 4, 层, 空, 白带, 压线",传美,1,电脑打印纸,1,0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸,传美,10134868,电脑打印纸
UPM 卓越佳印复印纸A4/85g,"UPM, 卓越, 佳印, 复印纸, A4/85g",upm,1,复印纸,1,0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸,UPM,10183047,复印纸
兰汇东 A4 70g复印纸（五包一箱包装 整箱出售）,"兰汇东, A4, 70g, 复印纸, （, 五, 包, 一箱, 包装, 整箱, 出售, ）",兰汇东,1,复印纸,1,0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸,兰汇东,509148,复印纸
红歌柏 A3 70克复印纸/包（五包一箱包装 整箱出售）,"红歌柏, A3, 70, 克, 复印纸, /, 包, （, 五, 包, 一箱, 包装, 整箱, 出售, ）",红歌柏,1,复印纸,1,0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸,红歌柏,9670035,复印纸
红歌柏 A4 80克复印纸/包（五包一箱包装 整箱出售）,"红歌柏, A4, 80, 克, 复印纸, /, 包, （, 五, 包, 一箱, 包装, 整箱, 出售, ）",红歌柏,1,复印纸,1,0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸,红歌柏,9670013,复印纸
联想（lenovo) LT2822墨粉盒（适用LJ2200/LJ2250/LJ2250N）,"联想, （, lenovo, ), LT2822, 墨, 粉盒, （, 适用, LJ2200/LJ2250/LJ2250N, ）",联想,1,粉盒,1,0-361-16611-16612-16618:办公用品-办公耗材.-激光耗材-激光碳粉,联想,11043166,粉盒
惠普（HP）CE505A 黑色硒鼓,"惠普, （, HP, ）, CE505A, 黑色, 硒鼓",惠普,1,硒鼓,1,0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓,惠普,11371418,硒鼓
三星SCX-4623FH一体机,"三星, SCX-4623FH, 一体机",三星,1,一体机,1,0-361-16628-16639-16655:办公用品-办公设备.-一体机.-激光一体机.,三星,9988356,
塑封膜(A4 6.5c),"塑封膜, (, A4, 6.5c, )",,0,塑封膜,1,0-361-16628-16641-16660:办公用品-办公设备.-装订配件-塑封膜,其他,9673012,塑封膜
普乐士 M-12NS电子白板（含支架和打印机）白色,"普乐士, M-12NS, 电子白板, （, 含, 支架, 和, 打印机, ）, 白色",普乐士,1,电子白板,1,0-361-16628-16642-16663:办公用品-办公设备.-会议设备-电子白板,PLUS(普乐士）,10126213,电子白板
索尼(SONY) VPL-EX100 投影机,"索尼, (, SONY, ), VPL-EX100, 投影机",索尼,1,投影机,1,0-361-16628-16642-16665:办公用品-办公设备.-会议设备-投影机.,索尼,10660396,投影机
三洋(SANYO) PLC-XR2600C 投影机,"三洋, (, SANYO, ), PLC-XR2600C, 投影机",三洋,1,投影机,1,0-361-16628-16642-16665:办公用品-办公设备.-会议设备-投影机.,三洋,11064985,投影机
三洋(SANYO) PLC-XU4010C 投影机,"三洋, (, SANYO, ), PLC-XU4010C, 投影机",三洋,1,投影机,1,0-361-16628-16642-16665:办公用品-办公设备.-会议设备-投影机.,三洋,11065046,投影机
富可视(InFocus) IN2196 投影机,"富可视, (, InFocus, ), IN2196, 投影机",富可视,1,投影机,1,0-361-16628-16642-16665:办公用品-办公设备.-会议设备-投影机.,富可视,10660603,投影机
索尼(SONY) VPL-EX175 投影机,"索尼, (, SONY, ), VPL-EX175, 投影机",索尼,1,投影机,1,0-361-16628-16642-16665:办公用品-办公设备.-会议设备-投影机.,索尼,10660421,投影机
美的（Midea） FS40-8BR 遥控落地扇,"美的, （, Midea, ）, FS40-8BR, 遥控, 落地扇",美的,1,遥控,1,0-361-16628-16642-16665:办公用品-办公设备.-会议设备-投影机.,美的,11176435,遥控
三星 ML-2581N 打印机,"三星, ML-2581N, 打印机",三星,1,打印机,1,0-361-16628-16647-16685:办公用品-办公设备.-打印机.-黑白激光打印机.,三星,9988276,打印机
HP K109A 喷墨打印机,"HP, K109A, 喷墨打印机",hp,1,喷墨打印机,1,0-361-16628-16647-16688:办公用品-办公设备.-打印机.-喷墨/照片打印机.,HP,9686560,喷墨打印机
"N次贴 3""×4""单挑炫彩便条砖,荧光七色33014","N次贴, 3, "", ×, 4, "", 单挑, 炫, 彩, 便条, 砖, ,, 荧光, 七色, 33014",,0,"n次贴, 砖",2,0-361-16629-16780-16790:办公用品-办公文具-标签识别-便条纸/报事贴,N次贴,10771989,"n次贴, 砖"
3M报事贴 656P(100页) 便条纸 粉蓝色 12本/封 整封出售,"3M, 报事贴, 656P, (, 100, 页, ), 便条纸, 粉, 蓝色, 12, 本, /, 封, 整封, 出售",3m,1,"报事贴, 便条纸, 粉, 本, 出售",5,0-361-16629-16780-16790:办公用品-办公文具-标签识别-便条纸/报事贴,3M,9682580,"报事贴, 便条纸"
3M报事贴 657(100页) 便条纸 黄色,"3M, 报事贴, 657, (, 100, 页, ), 便条纸, 黄色",3m,1,"报事贴, 便条纸",2,0-361-16629-16780-16790:办公用品-办公文具-标签识别-便条纸/报事贴,3M,9672677,"报事贴, 便条纸"
"N次贴 3""×4""报事贴31009（黄）","N次贴, 3, "", ×, 4, "", 报事贴, 31009, （, 黄, ）",,0,"n次贴, 报事贴",2,0-361-16629-16780-16790:办公用品-办公文具-标签识别-便条纸/报事贴,N次贴,10771489,"n次贴, 报事贴"
