商品名,分词结果,品牌词,品牌数,类别词,类别数,原始类别,原始品牌,商品CODE,标注类别词
让孩子越玩越聪明的600个经典游戏,"让, 孩子, 越, 玩, 越, 聪, 明的, 600, 个, 经典, 游戏",,0,游戏,1,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,华夏出版社,10835560,
小企鹅 万宝丛书－剪纸（长）,"小企鹅, 万宝, 丛书, －, 剪纸, （, 长, ）",小企鹅,1,剪纸,1,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,小企鹅,9777882,
小企鹅 双面识字卡—识字(上)(早教版),"小企鹅, 双面, 识字卡, —, 识字, (, 上, ), (, 早教, 版, )",小企鹅,1,识字卡,1,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,小企鹅,10317916,
小企鹅 好宝宝轻松认－认物品,"小企鹅, 好, 宝宝, 轻松, 认, －, 认, 物品",小企鹅,1,,0,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,小企鹅,9780147,
小企鹅 好宝宝轻松认－颜色形状,"小企鹅, 好, 宝宝, 轻松, 认, －, 颜色, 形状",小企鹅,1,颜色,1,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,小企鹅,9838340,
小企鹅 婴幼儿智力大卡－D动物,"小企鹅, 婴幼儿, 智力, 大卡, －, D, 动物",小企鹅,1,动物,1,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,小企鹅,9777133,
小企鹅 学习宝－加减法,"小企鹅, 学习, 宝, －, 加减法",小企鹅,1,学习,1,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,小企鹅,9777804,
小企鹅 小宝贝启蒙必读,"小企鹅, 小, 宝贝, 启蒙, 必读",小企鹅,1,,0,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,小企鹅,10149936,
小企鹅 小手啪啪 共8册,"小企鹅, 小手, 啪啪, 共, 8, 册",小企鹅,1,,0,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,小企鹅,10149969,
小企鹅 小手啪啪－蔬菜好好吃,"小企鹅, 小手, 啪啪, －, 蔬菜, 好, 好吃",小企鹅,1,,0,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,小企鹅,9777473,
小企鹅 百变时装秀,"小企鹅, 百, 变, 时装秀",小企鹅,1,,0,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,小企鹅,10149652,
小企鹅 聪明宝宝早早教－B儿歌,"小企鹅, 聪明宝宝, 早, 早教, －, B, 儿歌",小企鹅,1,早教,1,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,小企鹅,9780692,
小企鹅 认世界－动物,"小企鹅, 认, 世界, －, 动物",小企鹅,1,动物,1,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,小企鹅,9778125,
小企鹅 魔术学习卡－拼音（新）,"小企鹅, 魔术, 学习, 卡, －, 拼音, （, 新, ）",小企鹅,1,"魔术, 学习, 拼音",3,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,小企鹅,9778341,
宝宝认知纸板书-餐桌,"宝宝, 认知, 纸, 板书, -, 餐桌",,0,"认知, 餐桌",2,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,荣信文化,403270,
幼儿启蒙知识库(共12册),"幼儿启蒙, 知识库, (, 共, 12, 册, )",,0,幼儿启蒙,1,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,荣信文化,403350,
聪明宝宝创作坊-涂鸦书2,"聪明宝宝, 创, 作坊, -, 涂鸦, 书, 2",聪明宝宝,1,,0,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,荣信文化,213398,
聪明宝宝创作坊-涂鸦书3,"聪明宝宝, 创, 作坊, -, 涂鸦, 书, 3",聪明宝宝,1,,0,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,荣信文化,213401,
聪明宝宝创作坊-贴纸书2,"聪明宝宝, 创, 作坊, -, 贴纸, 书, 2",聪明宝宝,1,贴纸,1,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,荣信文化,213354,
认知滑板书系列-颜色,"认知, 滑, 板书, 系列, -, 颜色",,0,"认知, 颜色",2,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,荣信文化,359897,
问号里的动物系列-野生的动物,"问号, 里的, 动物系列, -, 野, 生的, 动物",,0,动物,1,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,荣信文化,213525,
孩子的好榜样（注音故事）—牛顿,"孩子, 的, 好榜样, （, 注音, 故事, ）, —, 牛顿",,0,,0,0-17722-17808-17810:玩具、图书音像-图书-幼儿启蒙,,10092258,
最受孩子欢迎的经典故事—勤奋故事,"最受, 孩子, 欢迎, 的, 经典, 故事, —, 勤奋, 故事",,0,,0,0-17722-17808-17811:玩具、图书音像-图书-儿童文学,小企鹅,10317483,
大鸟和小鸟,"大鸟, 和, 小鸟",小鸟,1,,0,0-17722-17808-17811:玩具、图书音像-图书-儿童文学,荣信文化,217390,
猫武士—力挽狂澜,"猫, 武士, —, 力挽狂澜",,0,,0,0-17722-17808-17811:玩具、图书音像-图书-儿童文学,,10092612,
婴之侣儿童涂鸦彩笔+绘画提高本,"婴之侣, 儿童, 涂鸦, 彩笔, +, 绘画, 提高, 本",婴之侣,1,"彩笔, 绘画, 本",3,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,小企鹅,10637340,
小企鹅 IQ百变拼图－恐龙世界,"小企鹅, IQ, 百, 变, 拼图, －, 恐龙, 世界",小企鹅,1,拼图,1,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,小企鹅,9781311,
小企鹅 宝宝乐翻翻－A 水果蔬菜,"小企鹅, 宝宝乐, 翻翻, －, A, 水果, 蔬菜",小企鹅,1,水果,1,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,小企鹅,9781004,
小企鹅 宝宝学画－描画（一星）,"小企鹅, 宝宝, 学, 画, －, 描画, （, 一星, ）",小企鹅,1,,0,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,小企鹅,9780818,
小企鹅 宝宝学画－涂色（二星）,"小企鹅, 宝宝, 学, 画, －, 涂色, （, 二, 星, ）",小企鹅,1,,0,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,小企鹅,9780807,
小企鹅 宝宝拼童话－丑小鸭,"小企鹅, 宝宝, 拼, 童话, －, 丑小鸭",小企鹅,1,童话,1,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,小企鹅,9780932,
小企鹅 宝宝拼童话－海的女儿,"小企鹅, 宝宝, 拼, 童话, －, 海, 的, 女儿",小企鹅,1,童话,1,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,小企鹅,9780921,
小企鹅 宝宝拼童话－渔夫和金鱼,"小企鹅, 宝宝, 拼, 童话, －, 渔夫, 和, 金鱼",小企鹅,1,童话,1,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,小企鹅,9838204,
小企鹅 小手贴贴－EQ童话贴纸,"小企鹅, 小手, 贴, 贴, －, EQ, 童话, 贴纸",小企鹅,1,"贴, 贴, 童话, 贴纸",4,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,小企鹅,9777406,
小企鹅 小手贴贴－IQ认知贴纸,"小企鹅, 小手, 贴, 贴, －, IQ, 认知, 贴纸",小企鹅,1,"贴, 贴, 认知, 贴纸",4,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,小企鹅,9838282,
小企鹅 欢乐手工—趣味创意,"小企鹅, 欢乐, 手工, —, 趣味, 创意",小企鹅,1,,0,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,小企鹅,10317530,
小企鹅 百变时装秀－浪漫美少女,"小企鹅, 百, 变, 时装秀, －, 浪漫, 美少女",小企鹅,1,,0,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,小企鹅,9781253,
德国LYRA 可扭出蜡笔12色 袋装+宝宝学画－蜡笔画,"德国LYRA, 可, 扭出, 蜡笔, 12, 色, 袋装, +, 宝宝, 学, 画, －, 蜡笔画",德国lyra,1,蜡笔,1,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,小企鹅,10637431,
德国LYRA 舒适易握水溶性彩色铅笔12色+宝宝学画－涂色（二星）,"德国LYRA, 舒适, 易, 握, 水溶性, 彩色铅笔, 12, 色, +, 宝宝, 学, 画, －, 涂色, （, 二, 星, ）",德国lyra,1,彩色铅笔,1,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,小企鹅,10637419,
纷多乐 冬已DIY清洁蜡笔 24色胶盒套装+宝宝学画－蜡笔画,"纷多乐, 冬, 已, DIY, 清洁, 蜡笔, 24, 色, 胶, 盒, 套装, +, 宝宝, 学, 画, －, 蜡笔画",纷多乐,1,"清洁, 蜡笔, 盒, 套装",4,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,小企鹅,10637373,
快乐绒布贴贴书-农场,"快乐, 绒, 布贴, 贴, 书, -, 农场",,0,"布贴, 贴",2,0-17722-17808-17812:玩具、图书音像-图书-手工游戏,荣信文化,9528169,
(DL)影响世界的大发明家,"(, DL, ), 影响, 世界的, 大, 发明家",,0,,0,0-17722-17808-17813:玩具、图书音像-图书-科普/百科,北方妇儿出版社,10839186,
恐龙+深海,"恐龙, +, 深海",深海,1,,0,0-17722-17808-17813:玩具、图书音像-图书-科普/百科,吉林美术出版社,10838650,
这是怎么回事系列书,"这是, 怎么回事, 系列, 书",,0,,0,0-17722-17808-17813:玩具、图书音像-图书-科普/百科,未来出版社,10838309,
皮卡西随身绘本---带你去,"皮卡西随身绘本, -, -, -, 带, 你去",皮卡西随身绘本,1,,0,0-17722-17808-17814:玩具、图书音像-图书-儿童绘本,皮卡西随身绘本,10723021,
蒲蒲兰绘本 这是什么形状,"蒲蒲兰绘本, 这, 是什么, 形状",蒲蒲兰绘本,1,,0,0-17722-17808-17814:玩具、图书音像-图书-儿童绘本,蒲蒲兰绘本,10620981,
蒲蒲兰绘本 想吃苹果的鼠小弟,"蒲蒲兰绘本, 想吃, 苹果, 的, 鼠, 小弟",蒲蒲兰绘本,1,苹果,1,0-17722-17808-17814:玩具、图书音像-图书-儿童绘本,蒲蒲兰绘本馆,10637806,
蒲蒲兰绘本 聪明的小宝,"蒲蒲兰绘本, 聪, 明的, 小宝",蒲蒲兰绘本,1,,0,0-17722-17808-17814:玩具、图书音像-图书-儿童绘本,蒲蒲兰绘本馆,10637748,
蒲蒲兰绘本 鼠小弟套装之鼠小弟和朋友们（四册入）,"蒲蒲兰绘本, 鼠, 小弟, 套装, 之, 鼠, 小弟, 和, 朋友们, （, 四, 册, 入, ）",蒲蒲兰绘本,1,套装,1,0-17722-17808-17814:玩具、图书音像-图书-儿童绘本,蒲蒲兰绘本馆,10679875,
读懂孩子的行为艺术,"读懂, 孩子, 的, 行为艺术",,0,,0,0-17722-17808-17815:玩具、图书音像-图书-家庭教育,时代文艺出版社,10838343,
和宝宝一起做的游戏大全:0-3岁/贝博士,"和, 宝宝, 一起, 做的, 游戏, 大全, :, 0-3, 岁, /, 贝博士",大全,1,游戏,1,0-17722-17808-17815:玩具、图书音像-图书-家庭教育,贝博士,10723101,
全脑开发智能宝典,"全, 脑, 开发, 智能, 宝典",,0,,0,0-17722-17808-17816:玩具、图书音像-图书-智力开发,小企鹅,10351458,
小企鹅 掌中宝益智书套装 共8册,"小企鹅, 掌中宝, 益智, 书, 套装, 共, 8, 册",小企鹅,1,"益智, 套装",2,0-17722-17808-17816:玩具、图书音像-图书-智力开发,小企鹅,9776889,
各种各样系列-各种各样的感觉,"各种各样, 系列, -, 各种各样, 的, 感觉",,0,,0,0-17722-17808-17816:玩具、图书音像-图书-智力开发,荣信文化,213138,
各种各样系列-各种各样的身体,"各种各样, 系列, -, 各种各样, 的, 身体",,0,,0,0-17722-17808-17816:玩具、图书音像-图书-智力开发,荣信文化,213149,
