商品名,分词结果,品牌词,品牌数,类别词,类别数,原始类别,原始品牌,商品CODE,标注类别词
GAO 1300010 24小时节能定时器,"GAO, 1300010, 24, 小时, 节能, 定时器",gao,1,定时器,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582293,
GAO 1300011 一周循环节能定时器,"GAO, 1300011, 一周, 循环, 节能, 定时器",gao,1,定时器,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582306,
GAO 1300012 防盗定时器,"GAO, 1300012, 防盗, 定时器",gao,1,定时器,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582317,
GAO 1300034 人体感应LED小夜灯,"GAO, 1300034, 人体, 感应, LED, 小夜灯",gao,1,"led, 小夜灯",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582373,
GAO 1300035 LED拍拍灯,"GAO, 1300035, LED, 拍拍, 灯",gao,1,"led, 灯",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582384,
GAO 1400022 两件套门窗感应器,"GAO, 1400022, 两件套, 门窗, 感应器",gao,1,感应器,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582566,
GAO 1400023 五合一多功能红外感应器,"GAO, 1400023, 五, 合一, 多功能, 红外, 感应器",gao,1,"红外, 感应器",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582577,
GAO 1400025 门窗感应器,"GAO, 1400025, 门窗, 感应器",gao,1,感应器,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582588,
公牛 GN-101 4孔  2500W  电源转换器  1.8米,"公牛, GN-101, 4, 孔, 2500W, 电源转换器, 1.8, 米",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470607,
公牛 GN-102 6孔  2500W  电源转换器  1.8米,"公牛, GN-102, 6, 孔, 2500W, 电源转换器, 1.8, 米",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470618,
公牛 GN-103D 1孔  大功率4000W  电源转换器  1.8米,"公牛, GN-103D, 1, 孔, 大功率, 4000W, 电源转换器, 1.8, 米",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470629,
公牛 GN-103D（大功率4000W）插座 1.8米,"公牛, GN-103D, （, 大功率, 4000W, ）, 插座, 1.8, 米",公牛,1,"插座, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538389,
公牛 GN-109  6孔  2500W  电源转换器   3米(插头带保险管),"公牛, GN-109, 6, 孔, 2500W, 电源转换器, 3, 米, (, 插头, 带, 保险, 管, )",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470630,
公牛 GN-110 10孔3米插座,"公牛, GN-110, 10, 孔, 3, 米, 插座",公牛,1,"米, 插座",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538367,
公牛 GN-210  3孔  2500W  电源转换器   1.8米,"公牛, GN-210, 3, 孔, 2500W, 电源转换器, 1.8, 米",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470641,
公牛 GN-211  4孔  2500W  电源转换器   1.8米,"公牛, GN-211, 4, 孔, 2500W, 电源转换器, 1.8, 米",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470652,
公牛 GN-218 超载预警3米两排十孔电源插座,"公牛, GN, -, 218, 超载, 预警, 3, 米, 两排, 十, 孔, 电源插座",公牛,1,"米, 电源插座",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538356,
公牛 GN-304  5孔  2500W  电源转换器   3米(过载保护),"公牛, GN-304, 5, 孔, 2500W, 电源转换器, 3, 米, (, 过载, 保护, )",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470663,
公牛 GN-309 3米五孔独立开关插板,"公牛, GN-309, 3, 米, 五孔, 独立, 开关, 插, 板",公牛,1,"米, 开关, 插, 板",4,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538481,
公牛 GN-313插座 6联3米 独立开关+过载保护,"公牛, GN-313, 插座, 6, 联, 3, 米, 独立, 开关, +, 过载, 保护",公牛,1,"插座, 米, 开关, 保护",4,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538323,
公牛 GN-314  3孔  2500W  电源转换器 1.8米,"公牛, GN-314, 3, 孔, 2500W, 电源转换器, 1.8, 米",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470685,
公牛 GN-314插座 1.8米 没插一开 轻松控制每个插头,"公牛, GN-314, 插座, 1.8, 米, 没, 插, 一开, 轻松, 控制, 每个, 插头",公牛,1,"插座, 米, 插, 插头",4,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538403,
公牛 GN-402 6孔插座 1.8米,"公牛, GN-402, 6, 孔, 插座, 1.8, 米",公牛,1,"插座, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538276,
公牛 GN-403 8孔 2500W  电源转换器 1.8米,"公牛, GN-403, 8, 孔, 2500W, 电源转换器, 1.8, 米",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470696,
公牛 GN-604 8孔 2500W  电源转换器 3米(过载保护),"公牛, GN-604, 8, 孔, 2500W, 电源转换器, 3, 米, (, 过载, 保护, )",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470709,
公牛 GN-606 3孔插座 1.8米,"公牛, GN-606, 3, 孔, 插座, 1.8, 米",公牛,1,"插座, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538265,
