商品名,分词结果,品牌词,品牌数,类别词,类别数,原始类别,原始品牌,商品CODE,标注类别词
公牛 GN-604 8孔 2500W  电源转换器 3米(过载保护),"公牛, GN-604, 8, 孔, 2500W, 电源转换器, 3, 米, (, 过载, 保护, )",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470709,电源转换器
公牛 GN-606A  3孔  2500W  电源转换器 3米,"公牛, GN-606A, 3, 孔, 2500W, 电源转换器, 3, 米",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470710,电源转换器
公牛 插座GN-312 5联3米 带独立开关 过载保护,"公牛, 插座, GN-312, 5, 联, 3, 米, 带, 独立, 开关, 过载, 保护",公牛,1,"插座, 米, 开关, 保护",4,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538254,"插座, 开关"
公牛 转换器GN-901A（美标）,"公牛, 转换器, GN-901A, （, 美标, ）",公牛,1,转换器,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,440653,转换器
众合 K-10SP 万能空调遥控器,"众合, K-10SP, 万能, 空调, 遥控器",众合,1,"空调, 遥控器",2,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,众合,11128522,遥控器
Accell 超高速HDMI 1.3扁平连接线-10.2 Gbps B102C-003B-CN(1m) 白色,"accell, 超高速, HDMI, 1.3, 扁平, 连接线, -10.2, gbps, B102C-003B-CN, (, 1m, ), 白色",accell,1,连接线,1,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,ACCELL,9705300,连接线
秋叶原 数码同轴线 QB-580 1.5m,"秋叶原, 数码, 同轴线, QB-580, 1.5m",秋叶原,1,数码,1,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,秋叶原,10538859,数码
小管家   10A250V机械式风量开关XGJ-HK5-014,"小管家, 10A250V, 机械式, 风量, 开关, XGJ-HK5-014",小管家,1,开关,1,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,小管家,11057899,开关
小管家   双联电视一位电话插座XGJ-HK5-010,"小管家, 双, 联, 电视, 一位, 电话插座, XGJ-HK5-010",小管家,1,"电视, 电话插座",2,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,小管家,11057855,电话插座
小管家 10A250V单联单极带荧光灯大翘板开关XGJ-HK5-001,"小管家, 10A250V, 单, 联, 单, 极带, 荧光灯, 大, 翘, 板, 开关, XGJ-HK5-001",小管家,1,"板, 开关",2,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,小管家,11057662,开关
世界三大建筑电气品牌之一 美国LEVITON立维腾开关芝加哥系列一位有线电视插座,"世界, 三大, 建筑, 电气, 品牌, 之一, 美国, LEVITON, 立, 维, 腾, 开关, 芝加哥, 系列, 一位, 有线, 电视插座",,0,"建筑, 开关, 电视插座",3,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,立维腾,11248003,"开关, 电视插座"
美斯克mysky开关插座 86-A6 16A二开双控带五孔,"美, 斯, 克, mysky, 开关, 插座, 86-A6, 16A, 二, 开, 双, 控, 带, 五孔",,0,"开关, 插座",2,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,美斯克MYSKY,11387454,"开关, 插座"
西门子品宜雅白三开双控开关,"西门子, 品, 宜, 雅, 白, 三, 开, 双控开关",西门子,1,双控开关,1,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,西门子,11581161,双控开关
西门子灵动金属黑一开双控带荧光,"西门子, 灵动, 金属, 黑, 一开, 双, 控, 带, 荧光",西门子,1,金属,1,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,西门子,11580782,金属
西门子灵动金属黑三开单控带荧光,"西门子, 灵动, 金属, 黑, 三, 开单, 控, 带, 荧光",西门子,1,金属,1,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,西门子,11580657,金属
西门子灵动金属黑调速,"西门子, 灵动, 金属, 黑, 调速",西门子,1,金属,1,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,西门子,11581230,金属
西门子远景彩银10A三孔插座,"西门子, 远景, 彩, 银, 10A, 三, 孔, 插座",西门子,1,插座,1,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,西门子,11581865,插座
西门子远景彩银一开单控开关,"西门子, 远景, 彩, 银, 一开, 单控开关",西门子,1,单控开关,1,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,西门子,11581218,单控开关
西门子远景彩银大一开三孔插座,"西门子, 远景, 彩, 银, 大, 一开, 三, 孔, 插座",西门子,1,插座,1,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,西门子,11581729,插座
西门子远景彩银电视+电脑插座,"西门子, 远景, 彩, 银, 电视, +, 电脑插座",西门子,1,"电视, 电脑插座",2,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,西门子,11581730,电脑插座
西门子远景彩银调光,"西门子, 远景, 彩, 银, 调光",西门子,1,,0,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,西门子,11582233,
西门子远景金棕二开双控开关,"西门子, 远景, 金, 棕, 二, 开, 双控开关",西门子,1,双控开关,1,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,西门子,11581241,双控开关
西门子远景雅白4位音响,"西门子, 远景, 雅, 白, 4, 位, 音响",西门子,1,,0,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,西门子,11401711,
西门子远景雅白五孔插座,"西门子, 远景, 雅, 白, 五孔, 插座",西门子,1,插座,1,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,西门子,11401675,插座
西门子远景雅白声光控,"西门子, 远景, 雅, 白, 声光, 控",西门子,1,,0,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,西门子,11400718,
西门子远景雅白开关防水盒,"西门子, 远景, 雅, 白, 开关, 防水, 盒",西门子,1,"开关, 盒",2,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,西门子,11401653,开关
西门子远景雅白门铃,"西门子, 远景, 雅, 白, 门铃",西门子,1,,0,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,西门子,11400729,
驰名商标 飞雕开关 118-V8 钢支架 中盒 一开二插,"驰名商标, 飞雕, 开关, 118-V8, 钢, 支架, 中, 盒, 一开, 二, 插",飞雕,1,"开关, 支架, 盒, 插",4,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,飞雕Feidiao,11387216,开关
驰名商标 飞雕开关 118-V8 钢支架 中盒 中四开,"驰名商标, 飞雕, 开关, 118-V8, 钢, 支架, 中, 盒, 中, 四开",飞雕,1,"开关, 支架, 盒",3,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,飞雕Feidiao,11386848,开关
驰名商标 飞雕开关 118-V8 钢支架 大盒 二插电话电脑,"驰名商标, 飞雕, 开关, 118-V8, 钢, 支架, 大盒, 二, 插, 电话, 电脑",飞雕,1,"开关, 支架, 插, 电脑",4,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,飞雕Feidiao,11387192,开关
驰名商标 飞雕开关 118-V8 钢支架 小盒 小四开单控,"驰名商标, 飞雕, 开关, 118-V8, 钢, 支架, 小盒, 小四, 开单, 控",飞雕,1,"开关, 支架",2,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,飞雕Feidiao,11386871,开关
