"商品名","分词结果","品牌词","品牌数","类别词","类别数","原始类别","原始品牌","商品CODE","标注类别词"
"ATOPI 袜子","ATOPI, 袜子","atopi","1","袜子","1","0-123-16222-16308:服装鞋帽-服饰配件包.-袜子,","ATOPI欧榜","10031002","袜子"
"茉莉林袜子组合装","茉莉林, 袜子, 组合装","茉莉林","1","袜子","1","0-123-16222-16308:服装鞋帽-服饰配件包.-袜子,","茉莉林","10827777","袜子"
"包邮  TODAYBEST正装男士商务领带南韩丝系列礼盒装三件套 Q012","包, 邮, TODAYBEST, 正装, 男士, 商务, 领带, 南韩, 丝, 系列, 礼盒装, 三件套, Q012","todaybest","1","商务, 领带","2","0-123-16222-16402:服装鞋帽-服饰配件包.-皮带/腰带","","10514213","领带"
"包邮  TODAYBEST正装男士商务领带南韩丝系列礼盒装三件套 Q014","包, 邮, TODAYBEST, 正装, 男士, 商务, 领带, 南韩, 丝, 系列, 礼盒装, 三件套, Q014","todaybest","1","商务, 领带","2","0-123-16222-16402:服装鞋帽-服饰配件包.-皮带/腰带","","10514224","领带"
"包邮  TODAYBEST正装男士商务领带南韩丝系列礼盒装三件套 Q016","包, 邮, TODAYBEST, 正装, 男士, 商务, 领带, 南韩, 丝, 系列, 礼盒装, 三件套, Q016","todaybest","1","商务, 领带","2","0-123-16222-16402:服装鞋帽-服饰配件包.-皮带/腰带","","10514246","领带"
"包邮  TODAYBEST正装男士商务领带南韩丝系列礼盒装三件套 Q017","包, 邮, TODAYBEST, 正装, 男士, 商务, 领带, 南韩, 丝, 系列, 礼盒装, 三件套, Q017","todaybest","1","商务, 领带","2","0-123-16222-16402:服装鞋帽-服饰配件包.-皮带/腰带","","10514304","领带"
"包邮  TODAYBEST正装男士商务领带南韩丝系列礼盒装三件套 Q018","包, 邮, TODAYBEST, 正装, 男士, 商务, 领带, 南韩, 丝, 系列, 礼盒装, 三件套, Q018","todaybest","1","商务, 领带","2","0-123-16222-16402:服装鞋帽-服饰配件包.-皮带/腰带","","10514315","领带"
"包邮  TODAYBEST正装男士商务领带南韩丝系列礼盒装三件套 Q019","包, 邮, TODAYBEST, 正装, 男士, 商务, 领带, 南韩, 丝, 系列, 礼盒装, 三件套, Q019","todaybest","1","商务, 领带","2","0-123-16222-16402:服装鞋帽-服饰配件包.-皮带/腰带","","10514257","领带"
"包邮  TODAYBEST正装男士商务领带南韩丝系列礼盒装三件套 Q020","包, 邮, TODAYBEST, 正装, 男士, 商务, 领带, 南韩, 丝, 系列, 礼盒装, 三件套, Q020","todaybest","1","商务, 领带","2","0-123-16222-16402:服装鞋帽-服饰配件包.-皮带/腰带","","10514268","领带"
"包邮  TODAYBEST正装男士商务领带南韩丝系列礼盒装三件套 Q022","包, 邮, TODAYBEST, 正装, 男士, 商务, 领带, 南韩, 丝, 系列, 礼盒装, 三件套, Q022","todaybest","1","商务, 领带","2","0-123-16222-16402:服装鞋帽-服饰配件包.-皮带/腰带","","10514279","领带"
