商品名,分词结果,品牌词,品牌数,类别词,类别数,原始类别,原始品牌,商品CODE,标注类别词
FisherPrice 费雪 米奇毛绒玩偶P4437,"FisherPrice, 费雪, 米奇, 毛绒玩偶, P4437",fisherprice,1,毛绒玩偶,1,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,FisherPrice 费雪,9571533,
JELLYCAT 外贸丛林猴子 (W)20*(H)46 cm,"JELLYCAT, 外贸, 丛林, 猴子, (, W, ), 20, *, (, H, ), 46, cm",jellycat,1,,0,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,JELLYCAT,9652180,
METOO 招财龟黄色毛绒手机座(赠蕾丝水晶鞋手机座) (L)20*(H)8 cm,"METOO, 招财, 龟, 黄色, 毛绒, 手机座, (, 赠, 蕾丝, 水晶, 鞋, 手机座, ), (, L, ), 20, *, (, H, ), 8, cm",metoo,1,手机座,1,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,METOO,9651847,
Metoo 唐装吉祥如意兔 福字红色 小号25CM,"metoo, 唐装, 吉祥如意, 兔, 福, 字, 红色, 小号, 25CM",metoo,1,"唐装, 小号",2,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,Metoo,10765125,
Metoo 唐装吉祥如意兔 肚兜红色 小号25CM,"metoo, 唐装, 吉祥如意, 兔, 肚兜, 红色, 小号, 25CM",metoo,1,"唐装, 肚兜, 小号",3,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,Metoo,10765158,
RUSS 外贸泰迪熊卷毛丝带 深棕 大号 (W)35*(H)50 cm,"RUSS, 外贸, 泰迪熊, 卷毛, 丝带, 深, 棕, 大号, (, W, ), 35, *, (, H, ), 50, cm",russ,1,"泰迪熊, 丝带, 大号",3,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,RUSS,9652102,
RUSS 泰迪熊卷毛丝带深棕特 大号75cm (W)40*(H)75 cm,"RUSS, 泰迪熊, 卷毛, 丝带, 深, 棕, 特, 大号, 75cm, (, W, ), 40, *, (, H, ), 75, cm",russ,1,"泰迪熊, 丝带, 大号",3,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,RUSS,9652099,
万代（BANDAI）优优17cm,"万代, （, BANDAI, ）, 优优, 17cm",万代,1,,0,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,万代（BANDAI）-优优,9634677,
万代（BANDAI）优优30cm,"万代, （, BANDAI, ）, 优优, 30cm",万代,1,,0,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,万代（BANDAI）-优优,9634768,
万代（BANDAI）优优和电子小轮车,"万代, （, BANDAI, ）, 优优, 和, 电子, 小, 轮, 车",万代,1,"电子, 车",2,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,万代（BANDAI）-优优,9634928,
万代（BANDAI）优优巴托17cm,"万代, （, BANDAI, ）, 优优, 巴, 托, 17cm",万代,1,,0,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,万代（BANDAI）-优优,9634688,
万代（BANDAI）优优巴托30cm,"万代, （, BANDAI, ）, 优优, 巴, 托, 30cm",万代,1,,0,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,万代（BANDAI）-优优,9634780,
万代（BANDAI）优优布袋木偶-优优,"万代, （, BANDAI, ）, 优优, 布袋, 木偶, -, 优优",万代,1,,0,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,万代（BANDAI）-优优,9634940,
