商品名,分词结果,品牌词,品牌数,类别词,类别数,原始类别,原始品牌,商品CODE,标注类别词
FisherPrice 费雪 米奇毛绒玩偶P4437,"FisherPrice, 费雪, 米奇, 毛绒玩偶, P4437",fisherprice,1,毛绒玩偶,1,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,FisherPrice 费雪,9571533,毛绒玩偶
瑞奇比蒂 录音泰迪熊礼盒 祝福抱抱系列-酒瓶 (W)16*(H)18 cm,"瑞奇比蒂, 录音, 泰迪熊, 礼盒, 祝福, 抱抱, 系列, -, 酒瓶, (, W, ), 16, *, (, H, ), 18, cm",瑞奇比蒂,1,"泰迪熊, 礼盒",2,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,瑞奇比蒂,10062756,泰迪熊
瑞奇比蒂美 羊羊手偶 (H)30 cm,"瑞奇比蒂, 美, 羊, 羊, 手偶, (, H, ), 30, cm",瑞奇比蒂,1,手偶,1,0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶,瑞奇比蒂,9651698,手偶
阿童木 M版长方靠垫 45cm,"阿童木, M, 版, 长方, 靠垫, 45cm",阿童木,1,靠垫,1,0-17722-17723-17725:玩具、图书音像-毛绒玩具-靠垫/抱枕,阿童木,10111770,靠垫
瑞奇比蒂 靠垫空调被 美羊羊 米色 (L)38*(W)38*(H)36 cm,"瑞奇比蒂, 靠垫, 空调被, 美, 羊, 羊, 米色, (, L, ), 38, *, (, W, ), 38, *, (, H, ), 36, cm",瑞奇比蒂,1,"靠垫, 空调被",2,0-17722-17723-17727:玩具、图书音像-毛绒玩具-空调被,瑞奇比蒂,10062814,靠垫
海底世界  超炫面具熊  面具卡通5只特惠套装  挂件 4.8cm 搪胶摆件,"海底世界, 超, 炫, 面具, 熊, 面具, 卡通, 5, 只, 特, 惠, 套装, 挂件, 4.8cm, 搪胶, 摆件",海底世界,1,"面具, 面具, 卡通, 套装, 挂件, 搪胶, 摆件",7,0-17722-17723-17728:玩具、图书音像-毛绒玩具-挂件吊饰,酷噜海底世界,11039273,"挂件, 摆件"
FULL TIME 拨浪鼓,"FULL, TIME, 拨浪鼓",full,1,拨浪鼓,1,0-17722-17730-17731:玩具、图书音像-婴幼玩具-早教益智,FULL TIME,9710456,拨浪鼓
FULL TIME 鸟房子,"FULL, TIME, 鸟, 房子",full,1,,0,0-17722-17730-17731:玩具、图书音像-婴幼玩具-早教益智,FULL TIME,9710478,
FisherPrice 费雪 奇妙学习小毛虫(中文版)N7293,"FisherPrice, 费雪, 奇妙, 学习, 小, 毛虫, (, 中文版, ), N7293",fisherprice,1,学习,1,0-17722-17730-17731:玩具、图书音像-婴幼玩具-早教益智,FisherPrice 费雪,10097526,
FisherPrice 费雪 宝宝学习屋(英语版)C6327,"FisherPrice, 费雪, 宝宝, 学习, 屋, (, 英语, 版, ), C6327",fisherprice,1,学习,1,0-17722-17730-17731:玩具、图书音像-婴幼玩具-早教益智,FisherPrice 费雪,9571408,
FisherPrice 费雪 层叠彩虹杯,"FisherPrice, 费雪, 层叠, 彩虹, 杯",fisherprice,1,杯,1,0-17722-17730-17731:玩具、图书音像-婴幼玩具-早教益智,FisherPrice 费雪,432371,
FisherPrice 费雪 趣味投篮架,"FisherPrice, 费雪, 趣味, 投, 篮架",fisherprice,1,,0,0-17722-17730-17731:玩具、图书音像-婴幼玩具-早教益智,FisherPrice 费雪,432495,
五星玩具 万向甲虫车37487 优质环保材料,"五星玩具, 万向, 甲虫, 车, 37487, 优质, 环保, 材料",五星玩具,1,"车, 环保",2,0-17722-17730-17731:玩具、图书音像-婴幼玩具-早教益智,五星玩具,10629546,
五星玩具 奇乐多超市收银机37218,"五星玩具, 奇乐, 多, 超市, 收银机, 37218",五星玩具,1,,0,0-17722-17730-17731:玩具、图书音像-婴幼玩具-早教益智,五星玩具,10629466,
新动乐 哈哈鼠床铃 616107,"新动乐, 哈哈, 鼠, 床铃, 616107",新动乐,1,床铃,1,0-17722-17730-17731:玩具、图书音像-婴幼玩具-早教益智,新动乐,9840226,
木玩世家形状分类板-中级BH2102B,"木玩世家, 形状, 分类, 板, -, 中级, BH2102B",木玩世家,1,板,1,0-17722-17730-17731:玩具、图书音像-婴幼玩具-早教益智,木玩世家——比好,11065671,
木玩世家拆装工具车BH3301,"木玩世家, 拆装, 工具车, BH3301",木玩世家,1,"拆装, 工具车",2,0-17722-17730-17731:玩具、图书音像-婴幼玩具-早教益智,木玩世家——比好,11066005,
百利威浮水活动书 88040,"百利威, 浮水, 活动, 书, 88040",百利威,1,活动,1,0-17722-17730-17731:玩具、图书音像-婴幼玩具-早教益智,百利威,9617281,
