"商品名","分词结果","品牌词","品牌数","类别词","类别数","原始类别","原始品牌","商品CODE","rand","标注类别词"
"屋里香 养颜特松条 顶级松仁 养颜美味 草本果仁 健康休闲 150克袋装 老上海特产好礼","屋里香, 养颜, 特, 松, 条, 顶级, 松仁, 养颜, 美味, 草本, 果仁, 健康, 休闲, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","健康, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108944","0",""
"屋里香 南仁芝麻 香脆可口 草本果仁 健康休闲 绿色食品 150克袋装 老上海特产好礼","屋里香, 南, 仁, 芝麻, 香脆, 可口, 草本, 果仁, 健康, 休闲, 绿色食品, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","健康, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108933","0",""
"屋里香 南枣核桃 健康 绿色 美味 时尚 260克时尚银盒装 老上海特产好礼","屋里香, 南, 枣, 核桃, 健康, 绿色, 美味, 时尚, 260, 克, 时尚, 银, 盒装, 老, 上海特产, 好, 礼","屋里香","1","核桃, 健康, 上海特产","3","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108751","0","核桃"
"屋里香 南枣核桃 （不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼","屋里香, 南, 枣, 核桃, （, 不, 添加, 蔗糖, ）, 无, 糖, 食品, 健康, 休闲, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","核桃, 糖, 食品, 健康, 上海特产","5","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108831","0","核桃"
"屋里香 双色果仁 软Q可口 草本果仁 健康休闲 绿色食品 150克袋装 老上海特产好礼","屋里香, 双, 色, 果仁, 软, Q, 可口, 草本, 果仁, 健康, 休闲, 绿色食品, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","健康, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108875","0",""
"屋里香 奶油五香豆 500克桶装 专利包装 送人体面 老上海特产好礼","屋里香, 奶油, 五香豆, 500, 克, 桶装, 专利, 包装, 送人, 体面, 老, 上海特产, 好, 礼","屋里香","99999","上海特产","1","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108955","0","体面"
"屋里香 奶油五香豆 老上海蓝色烟盒集锦 200克盒装 老上海特产好礼","屋里香, 奶油, 五香豆, 老上海, 蓝色, 烟盒, 集锦, 200, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","1","烟盒, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109129","0",""
"屋里香 奶油五香豆 老上海风情红妆挂历 200克盒装 老上海特产好礼","屋里香, 奶油, 五香豆, 老上海, 风情, 红妆, 挂历, 200, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","1","挂历, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109130","0","挂历"
"屋里香 山楂松子糕 松软香浓 健康美味 200克盒装 老上海特产好礼","屋里香, 山楂, 松子, 糕, 松软, 香浓, 健康, 美味, 200, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","99999","健康, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109050","0","糕"
"屋里香 山楂松子（不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼","屋里香, 山楂, 松子, （, 不, 添加, 蔗糖, ）, 无, 糖, 食品, 健康, 休闲, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","糖, 食品, 健康, 上海特产","4","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108842","0",""
"屋里香 山楂核桃糕 软Q香浓 美味不停 200克盒装 老上海特产好礼","屋里香, 山楂, 核桃糕, 软, Q, 香浓, 美味, 不停, 200, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","99999","上海特产","1","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109196","1","核桃糕"
"屋里香 松仁粽子糖 晶莹剔透 焦香诱人 200克盒装 老上海特产好礼","屋里香, 松仁, 粽子, 糖, 晶莹剔透, 焦, 香, 诱人, 200, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","1","粽子, 糖, 上海特产","3","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109049","0","粽子"
"屋里香 松仁粽子糖（不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼","屋里香, 松仁, 粽子, 糖, （, 不, 添加, 蔗糖, ）, 无, 糖, 食品, 健康, 休闲, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","粽子, 糖, 糖, 食品, 健康, 上海特产","6","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108795","0","粽子"
"屋里香 松仁香麻卷 香甜软Q 美味健康 150克盒装 老上海特产好礼","屋里香, 松仁, 香, 麻, 卷, 香甜, 软, Q, 美味, 健康, 150, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","1","健康, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109163","0",""
