ProductCode,ProductName,BrandName,CategoryName,NameSubtitle,BrandWords,SplitedWords,CategoryWords
10470709,公牛 GN-604 8孔 2500W  电源转换器 3米(过载保护),公牛,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,,公牛,"公牛, ,gn-604, ,8,孔, ,2500w, , ,电源转换器, ,3,米,(,过载,保护,)",电源转换器
10470710,公牛 GN-606A  3孔  2500W  电源转换器 3米,公牛,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,,公牛,"公牛, ,gn-606a, , ,3,孔, , ,2500w, , ,电源转换器, ,3,米",电源转换器
9538254,公牛 插座GN-312 5联3米 带独立开关 过载保护,公牛,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,,公牛,"公牛, ,插座,gn-312, ,5,联,3,米, ,带,独立,开关, ,过载,保护","插座, 开关"
440653,公牛 转换器GN-901A（美标）,公牛,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,,公牛,"公牛, ,转换器,gn-901a,（,美标,）",转换器
11128522,众合 K-10SP 万能空调遥控器,众合,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,,众合,"众合, ,k-10sp, ,万能,空调,遥控器",遥控器
9705300,Accell 超高速HDMI 1.3扁平连接线-10.2 Gbps B102C-003B-CN(1m) 白色,ACCELL,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,,accell,"accell, ,超高速,hdmi, ,1.3,扁平,连接线,-10.2, ,gbps, ,b102c-003b-cn,(,1m,), ,白色",连接线
10538859,秋叶原 数码同轴线 QB-580 1.5m,秋叶原,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,,秋叶原,"秋叶原, ,数码,同轴线, ,qb-580, ,1.5m",数码
11057899,小管家   10A250V机械式风量开关XGJ-HK5-014,小管家,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,小管家,"小管家, , , ,10a250v,机械式,风量,开关,xgj-hk5-014",开关
11057855,小管家   双联电视一位电话插座XGJ-HK5-010,小管家,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,小管家,"小管家, , , ,双联,电视,一位,电话插座,xgj,-,hk5,-,010",
11057662,小管家 10A250V单联单极带荧光灯大翘板开关XGJ-HK5-001,小管家,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,小管家,"小管家, ,10a250v,单,联,单,极带,荧光灯,大,翘,板,开关,xgj-hk5-001",开关
11248003,世界三大建筑电气品牌之一 美国LEVITON立维腾开关芝加哥系列一位有线电视插座,立维腾,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,美国,"世界,三大,建筑电气,品牌,之一, ,美国,leviton,立,维,腾,开关,芝加哥,系,列,一位,有线,电视插座","开关, 电视插座"
11387454,美斯克mysky开关插座 86-A6 16A二开双控带五孔,美斯克MYSKY,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,美斯克,"美斯克,mysky,开关插座, ,86-a6, ,16a,二,开,双,控,带,五孔","开关, 插座"
11581161,西门子品宜雅白三开双控开关,西门子,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,西门子,"西门子,品,宜,雅,白,三,开,双控开关",双控开关
11580782,西门子灵动金属黑一开双控带荧光,西门子,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,西门子,"西门子,灵动,金属,黑,一开,双,控,带,荧光",金属
11580657,西门子灵动金属黑三开单控带荧光,西门子,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,西门子,"西门子,灵动,金属,黑,三,开单,控,带,荧光",金属
11581230,西门子灵动金属黑调速,西门子,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,西门子,"西门子,灵动,金属,黑,调速",金属
11581865,西门子远景彩银10A三孔插座,西门子,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,西门子,"西门子,远景,彩,银,10a,三孔,插座",插座
11581218,西门子远景彩银一开单控开关,西门子,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,西门子,"西门子,远景,彩,银,一开,单控开关",单控开关
11581729,西门子远景彩银大一开三孔插座,西门子,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,西门子,"西门子,远景,彩,银,大,一开,三孔,插座",插座
11581730,西门子远景彩银电视+电脑插座,西门子,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,西门子,"西门子,远景,彩,银,电视,+,电脑插座",电脑插座
11582233,西门子远景彩银调光,西门子,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,西门子,"西门子,远景,彩,银,调光",
11581241,西门子远景金棕二开双控开关,西门子,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,西门子,"西门子,远景,金,棕,二,开,双控开关",双控开关
11401711,西门子远景雅白4位音响,西门子,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,西门子,"西门子,远景,雅,白,4,位,音响",
11401675,西门子远景雅白五孔插座,西门子,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,西门子,"西门子,远景,雅,白,五孔,插座",插座
11400718,西门子远景雅白声光控,西门子,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,西门子,"西门子,远景,雅,白,声光,控",
11401653,西门子远景雅白开关防水盒,西门子,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,西门子,"西门子,远景,雅,白,开关,防水,盒",开关
11400729,西门子远景雅白门铃,西门子,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,,西门子,"西门子,远景,雅,白,门铃",
