ProductName,SplitedWords,BrandWords,品牌数,CategoryWords,类别数,CategoryName,BrandName,ProductCode
HOCRES华贵方形烟缸(中),"hocres, 华, 贵, 方, 形, 烟, 缸, (, 中, )",hocres,1,,0,0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶,HOCRES,9769793
HOCRES华贵方形烟缸(小),"hocres, 华, 贵, 方, 形, 烟, 缸, (, 小, )",hocres,1,,0,0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶,HOCRES,9769782
HOCRES环绕烟缸14.5cm,"hocres, 环, 绕, 烟, 缸, 14.5cm",hocres,1,,0,0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶,HOCRES,9769760
HOCRES繁花烟缸15cm,"hocres, 繁, 花, 烟, 缸, 15cm",hocres,1,,0,0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶,HOCRES,9769771
三月三烟灰缸,"三月三, 烟灰缸",三月三,1,烟灰缸,1,0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶,三月三,10137005
乐美雅赛冰花花瓶 27cl,"乐美雅, 赛, 冰, 花, 花瓶,  , 27cl",乐美雅,1,花瓶,1,0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶,乐美雅,10629966
波米欧立烟灰缸LOB222611,"波米欧立, 烟灰缸, lob222611",波米欧立,1,烟灰缸,1,0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶,波米欧立,224408
【特澳博骨瓷】正品骨质瓷 水晶花瓶,"【, 特澳博, 骨瓷, 】, 正, 品, 骨, 质, 瓷,  , 水晶, 花瓶",特澳博,1,花瓶,1,0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶,特澳博,11910104
【特澳博骨瓷】正品骨质瓷3.5寸烟缸,"【, 特澳博, 骨瓷, 】, 正, 品, 骨, 质, 瓷, 3.5, 寸, 烟, 缸",特澳博,1,,0,0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶,特澳博,11216152
【特澳博骨瓷】正品骨质瓷加厚烟缸,"【, 特澳博, 骨瓷, 】, 正, 品, 骨, 质, 瓷, 加, 厚, 烟, 缸",特澳博,1,,0,0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶,特澳博,11216141
【特澳博骨瓷】正品骨质瓷烟灰缸 爱马仕型长方雪茄烟碟－梅瓶牡丹扁壶,"【, 特澳博, 骨瓷, 】, 正, 品, 骨, 质, 瓷, 烟灰缸,  , 爱马仕, 型, 长, 方, 雪, 茄, 烟, 碟, －, 梅, 瓶, 牡丹, 扁, 壶",特澳博,1,"烟灰缸, 碟",2,0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶,特澳博,12459119
【特澳博骨瓷】正品骨质瓷烟灰缸 爱马仕型长方雪茄烟碟－梅瓶花尊,"【, 特澳博, 骨瓷, 】, 正, 品, 骨, 质, 瓷, 烟灰缸,  , 爱马仕, 型, 长, 方, 雪, 茄, 烟, 碟, －, 梅, 瓶, 花, 尊",特澳博,1,"烟灰缸, 碟",2,0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶,特澳博,12459120
【特澳博骨瓷】正品骨质瓷烟灰缸 爱马仕型长方雪茄烟碟－梅瓶蒜头口扁壶,"【, 特澳博, 骨瓷, 】, 正, 品, 骨, 质, 瓷, 烟灰缸,  , 爱马仕, 型, 长, 方, 雪, 茄, 烟, 碟, －, 梅, 瓶, 蒜, 头, 口, 扁, 壶",特澳博,1,"烟灰缸, 碟",2,0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶,特澳博,12459108
【特澳博骨瓷】正品骨质瓷爱马仕型长方雪茄烟碟－梅瓶葫芦扁壶,"【, 特澳博, 骨瓷, 】, 正, 品, 骨, 质, 瓷, 爱马仕, 型, 长, 方, 雪, 茄, 烟, 碟, －, 梅, 瓶, 葫, 芦, 扁, 壶",特澳博,1,碟,1,0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶,特澳博,12459131
【特澳博骨瓷】正品骨质瓷皇家道尔顿烟缸,"【, 特澳博, 骨瓷, 】, 正, 品, 骨, 质, 瓷, 皇家, 道尔顿, 烟, 缸",特澳博,1,,0,0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶,特澳博,11118175
