"ProductCode","ProductName","BrandName","CategoryName","NameSubtitle","BrandWords","SplitedWords","CategoryWords"
"9769793","HOCRES华贵方形烟缸(中)","HOCRES","0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶",,"hocres","hocres,华贵,方形,烟缸,(,中,)",""
"9769782","HOCRES华贵方形烟缸(小)","HOCRES","0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶",,"hocres","hocres,华贵,方形,烟缸,(,小,)",""
"9769760","HOCRES环绕烟缸14.5cm","HOCRES","0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶",,"hocres","hocres,环绕,烟缸,14.5cm",""
"9769771","HOCRES繁花烟缸15cm","HOCRES","0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶",,"hocres","hocres,繁花,烟缸,15cm",""
"10137005","三月三烟灰缸","三月三","0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶",,"三月三","三月三,烟灰缸",""
"10629966","乐美雅赛冰花花瓶 27cl","乐美雅","0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶",,"乐美雅","乐美雅,赛,冰花,花瓶, ,27cl","花瓶"
"224408","波米欧立烟灰缸LOB222611","波米欧立","0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶",,"波米欧立","波米欧立,烟灰缸,lob222611",""
"11910104","【特澳博骨瓷】正品骨质瓷 水晶花瓶","特澳博","0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶",,"特澳博,骨瓷,水晶","【,特澳博,骨瓷,】,正品,骨质瓷, ,水晶,花瓶","花瓶"
"11216152","【特澳博骨瓷】正品骨质瓷3.5寸烟缸","特澳博","0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶",,"特澳博,骨瓷","【,特澳博,骨瓷,】,正品,骨质瓷,3.5,寸,烟缸",""
"11216141","【特澳博骨瓷】正品骨质瓷加厚烟缸","特澳博","0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶",,"特澳博,骨瓷","【,特澳博,骨瓷,】,正品,骨质瓷,加厚,烟缸",""
"12459119","【特澳博骨瓷】正品骨质瓷烟灰缸 爱马仕型长方雪茄烟碟－梅瓶牡丹扁壶","特澳博","0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶",,"特澳博,骨瓷,爱马仕,牡丹","【,特澳博,骨瓷,】,正品,骨质瓷,烟灰缸, ,爱马仕,型,长方,雪茄烟,碟,－,梅,瓶,牡丹,扁壶","碟"
"12459120","【特澳博骨瓷】正品骨质瓷烟灰缸 爱马仕型长方雪茄烟碟－梅瓶花尊","特澳博","0-5134-5160-17924:厨房用品、清洁用品-餐具及配件-烟灰缸/花瓶",,"特澳博,骨瓷,爱马仕","【,特澳博,骨瓷,】,正品,骨质瓷,烟灰缸, ,爱马仕,型,长方,雪茄烟,碟,－,梅,瓶,花,尊","碟"
