ProductCode,ProductName,BrandName,CategoryName,NameSubtitle,BrandWords,SplitedWords,CategoryWords
9540867,东菱 豆浆机BL-9240A,东菱,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,,东菱,"东菱, ,豆浆机,bl,-,9240a",豆浆机
9540878,东菱 豆浆机XB-9186BH,东菱,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,,东菱,"东菱, ,豆浆机,xb,-,9186bh",豆浆机
10015608,东菱水果豆浆机赠品杯（赠品）,东菱,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,,"东菱,水果","东菱,水果,豆浆机,赠品,杯,（,赠品,）","水果,豆浆机,杯"
191593,东菱红色豆浆机XB-9186H,东菱,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,,东菱,"东菱,红色,豆浆机,xb,-,9186h",豆浆机
191606,东菱豆浆机XB-9186,东菱,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,,东菱,"东菱,豆浆机,xb,-,9186",豆浆机
355544,东菱豆浆机（DONLIM）BL-9240,东菱,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,,"东菱,donlim","东菱,豆浆机,（,donlim,）,bl,-,9240",豆浆机
11104146,九阳 五谷系列豆浆机 DJ13B-C81,九阳,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,,九阳,"九阳, ,五谷,系列,豆浆机, ,dj13b,-,c81",豆浆机
11104157,九阳 五谷系列豆浆机 DJ15B-C78,九阳,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,,九阳,"九阳, ,五谷,系列,豆浆机, ,dj15b,-,c78",豆浆机
11104168,九阳 五谷系列豆浆机 DJ15B-C79,九阳,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,,九阳,"九阳, ,五谷,系列,豆浆机, ,dj15b,-,c79",豆浆机
9796229,九阳 五谷系列豆浆机 JYD-C13S610,九阳,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,,九阳,"九阳, ,五谷,系列,豆浆机, ,jyd,-,c13s610",豆浆机
11448854,九阳 五谷系列豆浆机 JYD-R13P302,九阳,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,,九阳,"九阳, ,五谷,系列,豆浆机, ,jyd,-,r13p302",豆浆机
9999706,九阳 无网系列豆浆机 DJ12B-A11,九阳,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,,九阳,"九阳, ,无,网,系列,豆浆机, ,dj12b,-,a11","网,豆浆机"
