ProductName,SplitedWords,BrandWords,品牌数,CategoryWords,类别数,CategoryName,BrandName,ProductCode
东菱 豆浆机BL-9240A,"东菱,  , 豆浆机, bl, -, 9240a",东菱,1,豆浆机,1,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,东菱,9540867
东菱 豆浆机XB-9186BH,"东菱,  , 豆浆机, xb, -, 9186bh",东菱,1,豆浆机,1,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,东菱,9540878
东菱水果豆浆机赠品杯（赠品）,"东菱, 水果, 豆浆机, 赠品, 杯, （, 赠品, ）",东菱,1,"水果, 豆浆机, 杯",3,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,东菱,10015608
东菱红色豆浆机XB-9186H,"东菱, 红色, 豆浆机, xb, -, 9186h",东菱,1,豆浆机,1,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,东菱,191593
东菱豆浆机XB-9186,"东菱, 豆浆机, xb, -, 9186",东菱,1,豆浆机,1,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,东菱,191606
东菱豆浆机（DONLIM）BL-9240,"东菱, 豆浆机, （, donlim, ）, bl, -, 9240",东菱,1,豆浆机,1,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,东菱,355544
九阳 五谷系列豆浆机 DJ13B-C81,"九阳,  , 五谷, 系列, 豆浆机,  , dj13b, -, c81",九阳,1,豆浆机,1,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,九阳,11104146
九阳 五谷系列豆浆机 DJ15B-C78,"九阳,  , 五谷, 系列, 豆浆机,  , dj15b, -, c78",九阳,1,豆浆机,1,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,九阳,11104157
九阳 五谷系列豆浆机 DJ15B-C79,"九阳,  , 五谷, 系列, 豆浆机,  , dj15b, -, c79",九阳,1,豆浆机,1,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,九阳,11104168
九阳 五谷系列豆浆机 JYD-C13S610,"九阳,  , 五谷, 系列, 豆浆机,  , jyd, -, c13s610",九阳,1,豆浆机,1,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,九阳,9796229
九阳 五谷系列豆浆机 JYD-R13P302,"九阳,  , 五谷, 系列, 豆浆机,  , jyd, -, r13p302",九阳,1,豆浆机,1,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,九阳,11448854
九阳 无网系列豆浆机 DJ12B-A11,"九阳,  , 无, 网, 系列, 豆浆机,  , dj12b, -, a11",九阳,1,"网, 豆浆机",2,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,九阳,9999706
九阳 无网系列豆浆机 DJ12B-A11D,"九阳,  , 无, 网, 系列, 豆浆机,  , dj12b, -, a11d",九阳,1,"网, 豆浆机",2,0-21266-21267-21268:大家电、生活电器-厨房电器-豆浆机.,九阳,11006681
