ProductName,CategoryName,BrandName,ProductCode
GAO 1300010 24小时节能定时器,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582293
GAO 1300011 一周循环节能定时器,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582306
GAO 1300012 防盗定时器,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582317
GAO 1300034 人体感应LED小夜灯,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582373
GAO 1300035 LED拍拍灯,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582384
GAO 1400022 两件套门窗感应器,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582566
GAO 1400023 五合一多功能红外感应器,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582577
GAO 1400025 门窗感应器,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,GAO捷欧,10582588
公牛 GN-101 4孔  2500W  电源转换器  1.8米,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470607
公牛 GN-102 6孔  2500W  电源转换器  1.8米,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470618
公牛 GN-103D 1孔  大功率4000W  电源转换器  1.8米,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470629
公牛 GN-103D（大功率4000W）插座 1.8米,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538389
公牛 GN-109  6孔  2500W  电源转换器   3米(插头带保险管),0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470630
公牛 GN-110 10孔3米插座,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538367
公牛 GN-210  3孔  2500W  电源转换器   1.8米,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470641
公牛 GN-211  4孔  2500W  电源转换器   1.8米,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470652
公牛 GN-218 超载预警3米两排十孔电源插座,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538356
