"ProductCode","ProductName","BrandName","CategoryName","NameSubtitle","BrandWords","SplitedWords","CategoryWords"
"10031002","ATOPI 袜子","ATOPI欧榜","0-123-16222-16308:服装鞋帽-服饰配件包.-袜子,",,"atopi","atopi, ,袜子","袜子"
"10827777","茉莉林袜子组合装","茉莉林","0-123-16222-16308:服装鞋帽-服饰配件包.-袜子,",,"茉莉林","茉莉林,袜子,组合装","袜子"
"10286790","【Tomnrabbit】长款纯色针织打底衫","Tomnrabbit","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"tomnrabbit","【,tomnrabbit,】,长,款,纯色,针织,打底衫",""
"10577272","2010hanakimi 冬装抢新 经典时尚假2件保暖修身打底裙裤Q5376","hanakimi","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"","2010hanakimi, ,冬装,抢,新, ,经典,时尚,假,2,件,保暖,修身,打底,裙裤,q5376","裙裤"
"10577614","hanakimi 2010冬装新款 七彩羊毛保暖内衣男款B9383","hanakimi","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"hanakimi","hanakimi, ,2010,冬装,新款, ,七彩,羊毛,保暖内衣,男,款,b9383","保暖内衣"
"10577921","hanakimi 2010冬装新款 羊毛绒修身保暖内衣女款H7383","hanakimi","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"hanakimi","hanakimi, ,2010,冬装,新款, ,羊,毛绒,修身,保暖内衣,女,款,h7383","保暖内衣"
"10579858","hanakimi 2010冬装新款 羊毛绒修身保暖内衣女款套装H8383","hanakimi","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"hanakimi","hanakimi, ,2010,冬装,新款, ,羊,毛绒,修身,保暖内衣,女,款,套装,h8383","保暖内衣,套装"
"10579961","hanakimi 2010冬装新款 羊绒塑身保暖内衣套装男款B0384","hanakimi","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"hanakimi","hanakimi, ,2010,冬装,新款, ,羊绒,塑身,保暖,内衣套装,男,款,b0384",""
"10580913","hanakimi 2010新款 休闲印花棉毛男款内衣套装H1383","hanakimi","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"hanakimi","hanakimi, ,2010,新款, ,休闲,印花,棉毛,男,款,内衣套装,h1383",""
"10580844","hanakimi 2010新款 休闲时尚条纹印花男款内衣套装H2383","hanakimi","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"hanakimi","hanakimi, ,2010,新款, ,休闲,时尚,条纹,印花,男,款,内衣套装,h2383",""
"10580833","hanakimi 2010新款 时尚提花男款休闲内衣套装H4383","hanakimi","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"hanakimi","hanakimi, ,2010,新款, ,时尚,提花,男,款,休闲,内衣套装,h4383",""
"10580764","hanakimi 2010新款 精梳棉字母印花男款内衣套装H3383","hanakimi","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"hanakimi","hanakimi, ,2010,新款, ,精梳棉,字母,印花,男,款,内衣套装,h3383",""
"10579972","hanakimi 2010秋冬新款 热力暖绒内衣套装男款L2384","hanakimi","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"hanakimi","hanakimi, ,2010,秋冬,新款, ,热力,暖,绒,内衣套装,男,款,l2384",""
"10580720","hanakimi 2010秋冬新款 竹炭羊毛印花保暖内衣男款H6383","hanakimi","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"hanakimi","hanakimi, ,2010,秋冬,新款, ,竹炭,羊毛,印花,保暖内衣,男,款,h6383","保暖内衣"
"10580117","hanakimi 2010秋冬新款 英文字母印花保暖内衣女款H5383","hanakimi","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"hanakimi","hanakimi, ,2010,秋冬,新款, ,英文字母,印花,保暖内衣,女,款,h5383","保暖内衣"
"10580742","hanakimi 2010秋冬装 无缝木代尔塑身保暖内衣套装女款 L4384","hanakimi","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"hanakimi","hanakimi, ,2010,秋冬装, ,无缝,木,代,尔,塑身,保暖,内衣套装,女,款, ,l4384",""
"10580753","hanakimi 2010秋装新款 修身无缝保暖内衣女款套装L3384","hanakimi","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"hanakimi","hanakimi, ,2010,秋装,新款, ,修身,无缝,保暖内衣,女,款,套装,l3384","保暖内衣,套装"
"10549652","爆款 杂志同款热销 超长超大纯色针织围巾围脖多功能披肩G3381","hanakimi","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"","爆,款, ,杂志,同,款,热销, ,超长,超大,纯色,针织,围巾,围脖,多功能,披肩,g3381","围巾"
"10459888","""免邮费"" 久久木 莫代尔蕾丝优质V领打底吊带 WV01","久久木","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"久久木",""",免邮费,"", ,久久木, ,莫代尔,蕾丝,优质,v领,打底,吊带, ,wv01","吊带"
"10450427","久久木 女装优质莫代尔打底工字背心WV07","久久木","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"久久木","久久木, ,女装,优质,莫代尔,打底,工字,背心,wv07","女装"
"10450336","气质大圆领纯棉打底T恤WT01","久久木","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"","气质,大,圆领,纯棉,打底,t恤,wt01",""
"10558755","2010秋冬新款 韩版淑女气质复古玫瑰花印花流苏披肩围巾 G6268","","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"","2010,秋冬,新款, ,韩版,淑女,气质,复古,玫瑰花,印花,流苏,披肩,围巾, ,g6268","围巾"
"10459833","包邮 久久木 四色 时尚亮丝长绒棉打底T恤 WT04","","0-123-16222-17342:服装鞋帽-服饰配件包.-打底衣/裤",,"","包邮, ,久久木, ,四色, ,时尚,亮,丝,长绒棉,打底,t恤, ,wt04",""
"10453528","100%优质羊毛简约净色提花背心19122","久久木","0-123-16223-16285:服装鞋帽-日常休闲-休闲背心",,"","100,%,优质,羊毛,简约,净,色,提花,背心,19122","背心"
"10519467","久久木 100%羊毛 新款纯色商务羊毛背心 MV01","久久木","0-123-16223-16285:服装鞋帽-日常休闲-休闲背心",,"久久木","久久木, ,100,%,羊毛, ,新款,纯色,商务,羊毛,背心, ,mv01",""
"10466429","久久木 100%羊毛 男装秋装羊毛商务休闲背心906092 藏青","久久木","0-123-16223-16285:服装鞋帽-日常休闲-休闲背心",,"久久木","久久木, ,100,%,羊毛, ,男装,秋装,羊毛,商务,休闲背心,906092, ,藏青","男装,休闲背心"
"10499884","久久木 100%羊毛 男装羊毛复古小钻石花纹气质背心 19115 墨绿","久久木","0-123-16223-16285:服装鞋帽-日常休闲-休闲背心",,"久久木","久久木, ,100,%,羊毛, ,男装,羊毛,复古,小,钻石,花纹,气质,背心, ,19115, ,墨绿","男装"
"10499873","久久木 100%羊毛 男装羊毛复古小钻石花纹气质背心 19115 紫色","久久木","0-123-16223-16285:服装鞋帽-日常休闲-休闲背心",,"久久木","久久木, ,100,%,羊毛, ,男装,羊毛,复古,小,钻石,花纹,气质,背心, ,19115, ,紫色","男装"
"10466418","久久木男装秋装羊毛商务休闲背心929108","久久木","0-123-16223-16285:服装鞋帽-日常休闲-休闲背心",,"久久木","久久木,男装,秋装,羊毛,商务,休闲背心,929108","男装,休闲背心"
"10453722","久久木男装秋装羊毛时尚休闲背心MV01 浅灰","","0-123-16223-16285:服装鞋帽-日常休闲-休闲背心",,"久久木","久久木,男装,秋装,羊毛,时尚,休闲背心,mv01, ,浅灰","男装,休闲背心"
"10577603","hanakimi 2010潮爆韩版经典款 可爱卡通小人印花百搭 T恤 Q7381","hanakimi","0-123-16223-16286:服装鞋帽-日常休闲-休闲T恤",,"hanakimi","hanakimi, ,2010,潮爆,韩版,经典,款, ,可爱,卡通,小人,印花,百搭, ,t恤, ,q7381","t恤"
"10460589","hanakimi 2010秋装 新品 韩版甜美荷叶木耳边打底衫T恤H5364 紫色 均号","","0-123-16223-16286:服装鞋帽-日常休闲-休闲T恤",,"hanakimi","hanakimi, ,2010,秋装, ,新品, ,韩版,甜美,荷叶,木,耳边,打底衫,t恤,h5364, ,紫色, ,均,号","t恤"
"10558799","hanakimi 秋装新品 韩版百搭全棉糖果色修身打底衫T恤L6370","","0-123-16223-16286:服装鞋帽-日常休闲-休闲T恤",,"hanakimi","hanakimi, ,秋装,新品, ,韩版,百搭,全棉,糖果,色,修身,打底衫,t恤,l6370","t恤"
"10460670","hanakimi 韩版OL最爱甜美满天星泡泡长袖打底T恤H5360 咖啡色 均号","","0-123-16223-16286:服装鞋帽-日常休闲-休闲T恤",,"hanakimi","hanakimi, ,韩版,ol,最爱,甜美,满天星,泡泡,长袖,打底,t恤,h5360, ,咖啡色, ,均,号","t恤"
"10460669","hanakimi秋装新品 韩版 经典 挂脖 假两件 百搭 长袖 T恤H6360 绿色 均号","","0-123-16223-16286:服装鞋帽-日常休闲-休闲T恤",,"hanakimi","hanakimi,秋装,新品, ,韩版, ,经典, ,挂脖, ,假两件, ,百搭, ,长袖, ,t恤,h6360, ,绿色, ,均,号","t恤"
"10460625","hanakimi韩版时尚简约修身长款 打底 翻领包臀T恤H027 1黑色 均号","","0-123-16223-16286:服装鞋帽-日常休闲-休闲T恤",,"hanakimi","hanakimi,韩版,时尚,简约,修,身长,款, ,打底, ,翻领,包臀,t恤,h027, ,1,黑色, ,均,号","修,t恤"
"10558802","新品免邮一周hanakimi 新品发布达人复古流苏装饰修身T恤Q7374","","0-123-16223-16286:服装鞋帽-日常休闲-休闲T恤",,"hanakimi","新品,免邮,一周,hanakimi, ,新品,发布,达人,复古,流苏,装饰,修身,t恤,q7374","t恤"
"10528208","hanakimi 2010秋装 新品 韩版淑女OL甜美蝴蝶结纯色衬衫H1367","","0-123-16223-16288:服装鞋帽-日常休闲-休闲衬衫",,"hanakimi","hanakimi, ,2010,秋装, ,新品, ,韩版,淑女,ol,甜美,蝴蝶结,纯色,衬衫,h1367","衬衫"
"10413544","【BOSSINI】 男  圆领字母卫衣610302000 天蓝色","堡狮龙","0-123-16223-16289:服装鞋帽-日常休闲-休闲卫衣",,"bossini","【,bossini,】, ,男, , ,圆领,字母,卫衣,610302000, ,天蓝色","卫衣"
"10413533","【BOSSINI】 男  圆领字母卫衣610302000 紫色","堡狮龙","0-123-16223-16289:服装鞋帽-日常休闲-休闲卫衣",,"bossini","【,bossini,】, ,男, , ,圆领,字母,卫衣,610302000, ,紫色","卫衣"
"10414127","【BOSSINI】 男 连帽卫衣外套510337140 草绿色","堡狮龙","0-123-16223-16289:服装鞋帽-日常休闲-休闲卫衣",,"bossini","【,bossini,】, ,男, ,连,帽,卫衣,外套,510337140, ,草绿色","卫衣"
"10414138","【BOSSINI】 男 连帽卫衣外套510337140 黑色","堡狮龙","0-123-16223-16289:服装鞋帽-日常休闲-休闲卫衣",,"bossini","【,bossini,】, ,男, ,连,帽,卫衣,外套,510337140, ,黑色","卫衣"
"10460545","hanakimi 2010秋装新款韩版流行前线简约百搭甜美情侣装连帽卫衣 黑色 M","","0-123-16223-16289:服装鞋帽-日常休闲-休闲卫衣",,"hanakimi","hanakimi, ,2010,秋装,新款,韩版,流行前线,简约,百搭,甜美,情侣装,连,帽,卫衣, ,黑色, ,m","卫衣"
