商品名,分词结果,品牌词,品牌数,类别词,类别数,原始类别,原始品牌,商品CODE,标注类别词
【BOSSINI】 男 连帽卫衣外套510337140 草绿色,"【, BOSSINI, 】, 男, 连, 帽, 卫衣, 外套, 510337140, 草绿色",bossini,1,"帽, 卫衣, 外套",3,0-123-16223-16289:服装鞋帽-日常休闲-休闲卫衣,堡狮龙,10414127,"卫衣, 外套"
久久木 男款秋冬炫目几何条纹商务休闲polo领羊毛衫 10166 黑色,"久久木, 男, 款, 秋冬, 炫目, 几何, 条纹, 商务休闲, polo, 领, 羊毛衫, 10166, 黑色",久久木,1,,0,0-123-16223-16592:服装鞋帽-日常休闲-休闲毛衫,久久木,10505665,羊毛衫
时尚v领素雅细条纹100%羊毛衫 12075,"时尚, v, 领, 素雅, 细, 条纹, 100, %, 羊毛衫, 12075",,0,,0,0-123-16223-16592:服装鞋帽-日常休闲-休闲毛衫,久久木,10538406,羊毛衫
hanakimi 欧美时尚 气质连帽夹克大口袋短外套 超有型 L4370,"hanakimi, 欧美, 时尚, 气质, 连, 帽, 夹克, 大, 口袋, 短外套, 超, 有, 型, L4370",hanakimi,1,"帽, 夹克, 短外套",3,0-123-16223-17062:服装鞋帽-日常休闲-休闲外套,,10528606,夹克
hanakimi女装 韩版时尚双排扣帅气修身风衣YW436 1杏色 S,"hanakimi, 女装, 韩版, 时尚, 双, 排, 扣, 帅气, 修身, 风衣, YW436, 1, 杏, 色, S",hanakimi,1,"女装, 扣, 风衣",3,0-123-16223-17062:服装鞋帽-日常休闲-休闲外套,,10460647,风衣
2011新款正品CORK勃肯鞋 情侣凉拖鞋防滑软木人字拖男女夹脚拖鞋白40,"2011, 新款, 正品, CORK, 勃, 肯, 鞋, 情侣, 凉拖鞋, 防滑, 软木, 人字拖, 男女, 夹, 脚, 拖鞋, 白, 40",cork,1,"鞋, 凉拖鞋, 防滑, 人字拖, 夹, 拖鞋",6,0-123-16224-16544:服装鞋帽-时尚靓鞋-凉拖,CORK ROCKY STONEY,10915910,拖鞋
2011新款正品CORK勃肯鞋 软木休闲鞋 情侣包头鞋凉拖鞋光面懒人拖白色38,"2011, 新款, 正品, CORK, 勃, 肯, 鞋, 软木, 休闲鞋, 情侣, 包头, 鞋, 凉拖鞋, 光面, 懒人, 拖, 白色, 38",cork,1,"鞋, 休闲鞋, 包头, 鞋, 凉拖鞋",5,0-123-16224-16544:服装鞋帽-时尚靓鞋-凉拖,CORK ROCKY STONEY,10870630,凉拖鞋
2011新款正品CORK勃肯鞋 软木休闲鞋 情侣包头鞋凉拖鞋光面懒人拖白色42,"2011, 新款, 正品, CORK, 勃, 肯, 鞋, 软木, 休闲鞋, 情侣, 包头, 鞋, 凉拖鞋, 光面, 懒人, 拖, 白色, 42",cork,1,"鞋, 休闲鞋, 包头, 鞋, 凉拖鞋",5,0-123-16224-16544:服装鞋帽-时尚靓鞋-凉拖,CORK ROCKY STONEY,10870505,凉拖鞋
GE&ZI银扣磨旧牛仔袖口划破修身背心牛仔蓝7127#,"GE, &, ZI, 银, 扣, 磨, 旧, 牛仔, 袖口, 划破, 修身, 背心, 牛仔, 蓝, 7127, #",ge,1,"扣, 背心",2,0-123-19491-19492-19506:服装鞋帽-女装.-女装T恤-女装背心,GE&ZI,11374359,背心
GE&ZI夏日甜心海军风条纹平口垂摆上衣粉色1304#,"GE, &, ZI, 夏日, 甜, 心海, 军风, 条纹, 平, 口, 垂, 摆, 上衣, 粉色, 1304, #",ge,1,上衣,1,0-123-19491-19492-19508:服装鞋帽-女装.-女装T恤-女装吊带衫,GE&ZI,11409453,上衣
2011春装新品 街头潮品个性字母搞怪小丑印花长款弧形T恤T00013灰色,"2011, 春装, 新品, 街头, 潮, 品, 个性, 字母, 搞怪, 小丑, 印花, 长款, 弧形, T恤, T00013, 灰色",,0,t恤,1,0-123-19491-19492-19509:服装鞋帽-女装.-女装T恤-女装长袖T恤,hanakimi,10969616,t恤
2011春装新品 韩版简约时尚字母印花小钉钻装饰修身T恤T00010绿色,"2011, 春装, 新品, 韩版, 简约, 时尚, 字母, 印花, 小, 钉, 钻, 装饰, 修身, T恤, T00010, 绿色",,0,"钉, 装饰, t恤",3,0-123-19491-19492-19509:服装鞋帽-女装.-女装T恤-女装长袖T恤,hanakimi,10961270,t恤
佐丹奴 女装 知性少女头像T恤 01321211001,"佐丹奴, 女装, 知性, 少女, 头像, T恤, 01321211001",佐丹奴,1,"女装, t恤",2,0-123-19491-19492-19510:服装鞋帽-女装.-女装T恤-女装短袖T恤,佐丹奴,11174326,"女装, t恤"
唐狮 正品夏装女猫猫求爱记主图印花T恤 111221021412 浅麻灰色 XS,"唐狮, 正品, 夏装, 女, 猫猫, 求爱, 记, 主, 图, 印花, T恤, 111221021412, 浅, 麻, 灰色, XS",唐狮,1,t恤,1,0-123-19491-19492-19510:服装鞋帽-女装.-女装T恤-女装短袖T恤,唐狮,11207935,t恤
HodooAge 快乐熊猫 韩版修身纯棉莱卡超可爱女短袖T恤 TS1016,"HodooAge, 快乐, 熊猫, 韩版, 修身, 纯棉, 莱卡, 超, 可, 爱女, 短袖T恤, TS1016",熊猫,1,短袖t恤,1,0-123-19491-19492-19510:服装鞋帽-女装.-女装T恤-女装短袖T恤,,11376491,短袖t恤
ESPRIT  女装 edc系列绣花系带小马甲 RE0812-206-9,"ESPRIT, 女装, edc, 系列, 绣花, 系带, 小, 马甲, RE0812-206-9",esprit,1,"女装, 马甲",2,0-123-19491-19515-19516:服装鞋帽-女装.-女装针织衫/毛衫-女装背心/马甲套衫,ESPRIT,10367609,"女装, 马甲"
唐狮 女士纯色立领潮流棉马甲#110321061402  黑色              ,"唐狮, 女士, 纯色, 立领, 潮流, 棉, 马甲, #110321061402, 黑色",唐狮,1,马甲,1,0-123-19491-19515-19516:服装鞋帽-女装.-女装针织衫/毛衫-女装背心/马甲套衫,唐狮,10376053,马甲
唐狮 女格子连帽棉马甲#110321061401  枚红色                  ,"唐狮, 女, 格子, 连, 帽, 棉, 马甲, #110321061401, 枚, 红色",唐狮,1,"帽, 马甲",2,0-123-19491-19515-19516:服装鞋帽-女装.-女装针织衫/毛衫-女装背心/马甲套衫,唐狮,10376075,马甲
凝彩羊绒衫女V领印花开衫1009黑白,"凝彩, 羊绒衫, 女, V领, 印花, 开衫, 1009, 黑白",凝彩,1,羊绒衫,1,0-123-19491-19515-19519:服装鞋帽-女装.-女装针织衫/毛衫-女装羊绒衫,凝彩,10810250,羊绒衫
2011春季新款 针织衫 套头蝙蝠袖 韩版针织衫 小外套 WK71 深灰色 M,"2011, 春季, 新款, 针织衫, 套头, 蝙蝠, 袖, 韩版, 针织衫, 小, 外套, WK71, 深灰色, M",蝙蝠,1,"针织衫, 袖, 针织衫, 外套",4,0-123-19491-19515-19521:服装鞋帽-女装.-女装针织衫/毛衫-女装长袖开衫,久久木,11034234,"针织衫, 外套"
佐丹奴 女装长袖条纹线衣外套01350585 哥特式紫,"佐丹奴, 女装, 长袖, 条纹, 线衣, 外套, 01350585, 哥特式, 紫",佐丹奴,1,"女装, 外套",2,0-123-19491-19515-19521:服装鞋帽-女装.-女装针织衫/毛衫-女装长袖开衫,佐丹奴,10270992,"女装, 外套"
佐丹奴 女装长袖线衣外套01359709 草绿,"佐丹奴, 女装, 长袖, 线衣, 外套, 01359709, 草绿",佐丹奴,1,"女装, 外套",2,0-123-19491-19515-19521:服装鞋帽-女装.-女装针织衫/毛衫-女装长袖开衫,佐丹奴,10271042,"女装, 外套"
OLOMO欧莱诺 女装 OL达人条纹收腰衬衫 1112220440 绿色,"OLOMO, 欧莱诺, 女装, OL, 达人, 条纹, 收, 腰, 衬衫, 1112220440, 绿色",olomo,1,"女装, 衬衫",2,0-123-19491-19523-19525:服装鞋帽-女装.-女装衬衫-女装长袖衬衫,OLOMO欧莱诺,11028743,"女装, 衬衫"
唐狮 女纯棉英伦格子长袖衬衫#110321015401  祖母绿            ,"唐狮, 女, 纯棉, 英伦, 格子, 长袖, 衬衫, #110321015401, 祖母绿",唐狮,1,衬衫,1,0-123-19491-19523-19525:服装鞋帽-女装.-女装衬衫-女装长袖衬衫,唐狮,10375505,衬衫
OLOMO欧莱诺 女装 繁花似锦印花雪纺短袖衫 1104230620 红色,"OLOMO, 欧莱诺, 女装, 繁花似锦, 印花, 雪纺, 短袖, 衫, 1104230620, 红色",olomo,1,女装,1,0-123-19491-19523-19526:服装鞋帽-女装.-女装衬衫-女装短袖衬衫,OLOMO欧莱诺,11030981,女装
【PARGO/佩戈】2010秋冬新款专柜正品商务休闲  女士百搭天鹅绒套装1026,"【, PARGO, /, 佩戈, 】, 2010, 秋冬, 新款, 专柜, 正品, 商务休闲, 女士, 百搭, 天鹅绒, 套装, 1026",pargo,1,套装,1,0-123-19491-19536-19537:服装鞋帽-女装.-女装卫衣-女装卫衣开衫,PARGO佩戈,10580537,套装
宝贝双星宝牛仔小姐连帽衫 703501 黄色,"宝贝双星, 宝, 牛仔, 小姐, 连, 帽, 衫, 703501, 黄色",宝贝双星,1,帽,1,0-123-19491-19536-19537:服装鞋帽-女装.-女装卫衣-女装卫衣开衫,宝贝双星,10781176,"连, 帽, 衫"
BSX 女装 疯狂的爱印花连帽卫衣 04380521001,"BSX, 女装, 疯狂, 的, 爱, 印花, 连, 帽, 卫衣, 04380521001",bsx,1,"女装, 帽, 卫衣",3,0-123-19491-19536-19538:服装鞋帽-女装.-女装卫衣-女装卫衣套衫,BSX,10629853,"女装, 卫衣"
唐狮 女士全棉纯色连帽卫衣#110321034403  黑色                ,"唐狮, 女士, 全棉, 纯色, 连, 帽, 卫衣, #110321034403, 黑色",唐狮,1,"帽, 卫衣",2,0-123-19491-19536-19538:服装鞋帽-女装.-女装卫衣-女装卫衣套衫,唐狮,10375947,卫衣
2011春装新品 日系气质公主风毛呢个性拼接皮革褶皱半身裙Q00022黑色L,"2011, 春装, 新品, 日, 系, 气质, 公主, 风, 毛呢, 个性, 拼接, 皮革, 褶皱, 半身裙, Q00022, 黑色, L",,0,"皮革, 半身裙",2,0-123-19491-19539-19540:服装鞋帽-女装.-女装裙子-女装迷你裙,hanakimi,10961612,半身裙
Moonbasa梦芭莎 手工钉珠片牛仔短裙 (034311207),"moonbasa, 梦, 芭, 莎, 手工, 钉, 珠, 片, 牛仔, 短裙, (, 034311207, )",,0,钉,1,0-123-19491-19539-19541:服装鞋帽-女装.-女装裙子-女装及膝裙,Moonbasa梦芭莎,11486990,短裙
Moonbasa梦芭莎 通勤大气不规则压褶短裙(034311203),"moonbasa, 梦, 芭, 莎, 通勤, 大气, 不规则, 压, 褶, 短裙, (, 034311203, )",,0,,0,0-123-19491-19539-19541:服装鞋帽-女装.-女装裙子-女装及膝裙,Moonbasa梦芭莎,11486945,短裙
