ProductCode,ProductName,BrandName,CategoryName,NameSubtitle,BrandWords,SplitedWords,CategoryWords
403963,微波炉烹调塑料盒（惠氏赠品）,惠氏,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,惠氏,"微波炉,烹,调,塑,料,盒,（,惠氏,赠,品,）",
10916548,托马斯 字母贴（惠婴乐赠品）,托马斯,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,托马斯,"托马斯, ,字,母,贴,（,惠,婴,乐,赠,品,）",
9980545,亨氏 超金康儿高婴儿配方奶粉 400g/盒(0-12个月),亨氏,0-5117-5984-18224:母婴食品、母婴用品-奶粉系列-1段奶粉,,亨氏,"亨氏, ,超,金,康,儿,高,婴儿,配,方,奶粉, ,400g,/,盒,(,0,-,12,个月,)","婴儿,奶粉"
9543355,光明牌金装优幼1段婴儿配方奶粉400g盒装,光明,0-5117-5984-18224:母婴食品、母婴用品-奶粉系列-1段奶粉,,光明,"光明,牌,金装,优,幼,1,段,婴儿,配,方,奶粉,400g,盒,装","婴儿,奶粉"
11421322,惠氏金装爱儿乐四维营养新配方奶粉400g/罐,惠氏,0-5117-5984-18224:母婴食品、母婴用品-奶粉系列-1段奶粉,,"惠氏,四维","惠氏,金装,爱儿乐,四维,营养,新,配,方,奶粉,400g,/,罐","营养,奶粉"
11059522,多美滋 金装贝乐爱延续较大婴幼儿配方奶粉听装900g,多美滋,0-5117-5984-18225:母婴食品、母婴用品-奶粉系列-2段奶粉,,"多美滋,贝乐","多美滋, ,金装,贝乐,爱,延,续,较,大,婴,幼儿,配,方,奶粉,听,装,900g","幼儿,奶粉"
43958,雀巢能恩超级金盾2配方奶粉900G罐装,雀巢,0-5117-5984-18225:母婴食品、母婴用品-奶粉系列-2段奶粉,,"雀巢,金盾","雀巢,能,恩,超,级,金盾,2,配,方,奶粉,900g,罐,装",奶粉
9543300,光明牌金装优幼3段幼儿配方奶粉900g罐装,光明,0-5117-5984-18226:母婴食品、母婴用品-奶粉系列-3段奶粉,,光明,"光明,牌,金装,优,幼,3,段,幼儿,配,方,奶粉,900g,罐,装","幼儿,奶粉"
11010938,旭贝尔 幼儿配方奶粉400克,旭贝尔,0-5117-5984-18226:母婴食品、母婴用品-奶粉系列-3段奶粉,,旭贝尔,"旭贝尔, ,幼儿,配,方,奶粉,400,克","幼儿,奶粉"
11010905,旭贝尔 幼儿配方奶粉900克,旭贝尔,0-5117-5984-18226:母婴食品、母婴用品-奶粉系列-3段奶粉,,旭贝尔,"旭贝尔, ,幼儿,配,方,奶粉,900,克","幼儿,奶粉"
