ProductName,SplitedWords,BrandWords,品牌数,CategoryWords,类别数,CategoryName,BrandName,ProductCode
乐扣乐扣储物箱 LLB146（惠氏赠品）,"乐扣乐扣, 储物箱,  , llb146, （, 惠氏, 赠, 品, ）",乐扣乐扣,1,储物箱,1,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,乐扣,10615551
明日小球星 ( 赠品）,"明日, 小, 球, 星,  , (,  , 赠, 品, ）",明日,1,,0,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,亨氏,9596569
喜多婴儿护肤柔湿巾3连包 赠品,"喜多, 婴儿, 护肤, 柔, 湿巾, 3, 连, 包,  , 赠, 品",喜多,1,"婴儿, 护肤, 湿巾",3,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,嘉宝,9834042
DISNEY米奇双盅炖锅（多美滋赠品）,"disney, 米奇, 双, 盅, 炖锅, （, 多美滋, 赠, 品, ）",disney,1,炖锅,1,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,多美滋,183799
乐扣保鲜盒（赠品）,"乐扣, 保鲜盒, （, 赠, 品, ）",乐扣,1,保鲜盒,1,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,多美滋,213752
伞柄车（多美滋赠品）,"伞, 柄, 车, （, 多美滋, 赠, 品, ）",,0,"伞, 车",2,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,多美滋,249514
儿童滑梯（多美滋赠品）,"儿, 童, 滑, 梯, （, 多美滋, 赠, 品, ）",,0,,0,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,多美滋,524061
华纳晴雨呵护套装（赠品）,"华纳, 晴, 雨, 呵, 护, 套装, （, 赠, 品, ）",华纳,1,套装,1,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,多美滋,262851
小龙哈彼餐椅（多美滋赠品）,"小龙哈彼, 餐椅, （, 多美滋, 赠, 品, ）",小龙哈彼,1,餐椅,1,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,多美滋,213774
热水瓶套装（多美滋）,"热水瓶, 套装, （, 多美滋, ）",,0,"热水瓶, 套装",2,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,多美滋,130290
