ProductCode,ProductName,BrandName,CategoryName,NameSubtitle,BrandWords,SplitedWords,CategoryWords
10615551,乐扣乐扣储物箱 LLB146（惠氏赠品）,乐扣,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,"乐扣乐扣,惠氏","乐扣乐扣,储物箱, ,llb146,（,惠氏,赠品,）",储物箱
9596569,明日小球星 ( 赠品）,亨氏,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,明日,"明日,小,球星, ,(, ,赠品,）",
9834042,喜多婴儿护肤柔湿巾3连包 赠品,嘉宝,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,喜多,"喜多,婴儿,护肤,柔,湿巾,3,连,包, ,赠品","婴儿,湿巾"
183799,DISNEY米奇双盅炖锅（多美滋赠品）,多美滋,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,disney,"disney,米奇,双,盅,炖锅,（,多美滋,赠品,）",炖锅
213752,乐扣保鲜盒（赠品）,多美滋,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,乐扣,"乐扣,保鲜盒,（,赠品,）",保鲜盒
249514,伞柄车（多美滋赠品）,多美滋,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,多美滋,"伞柄,车,（,多美滋,赠品,）",
524061,儿童滑梯（多美滋赠品）,多美滋,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,多美滋,"儿童,滑梯,（,多美滋,赠品,）",
262851,华纳晴雨呵护套装（赠品）,多美滋,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,华纳,"华纳,晴雨,呵护,套装,（,赠品,）",套装
213774,小龙哈彼餐椅（多美滋赠品）,多美滋,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,小龙哈彼,"小龙哈彼,餐椅,（,多美滋,赠品,）",餐椅
130290,热水瓶套装（多美滋）,多美滋,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,多美滋,"热水瓶,套装,（,多美滋,）",套装
428057,高档小钢琴（多美滋赠品）,多美滋,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,多美滋,"高档,小,钢琴,（,多美滋,赠品,）",
11725001,好奇 环抱式超薄柔软升级版纸尿裤小包L25片（赠品）,好奇,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,好奇,"好奇, ,环抱,式,超薄,柔软,升级版,纸尿裤,小包,l25,片,（,赠品,）",纸尿裤
10689540,好奇婴儿柔润湿巾清爽洁净70抽补充装（赠品）,好奇,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,好奇,"好奇,婴儿,柔润,湿巾,清爽,洁净,70,抽,补充装,（,赠品,）","婴儿,湿巾"
11725012,宝宝金水家庭套装（赠品）,宝宝金水,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,宝宝金水,"宝宝金水,家庭,套装,（,赠品,）",套装
334123,加菲猫扭扭车（惠氏赠品）,惠氏,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,"加菲猫,惠氏","加菲猫,扭扭车,（,惠氏,赠品,）",扭扭车
9514801,喜洋洋油画棒（惠氏赠品）,惠氏,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,惠氏,"喜洋洋,油画棒,（,惠氏,赠品,）",油画棒
403963,微波炉烹调塑料盒（惠氏赠品）,惠氏,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,惠氏,"微波炉,烹调,塑料盒,（,惠氏,赠品,）",
10126188,惠氏 金装膳儿加40g(赠品),惠氏,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,惠氏,"惠氏, ,金装,膳,儿,加,40g,(,赠品,)",
10805911,纱布围兜套装,惠氏,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,,"纱布,围兜,套装",套装
137086,背包（惠氏赠品）,惠氏,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,惠氏,"背包,（,惠氏,赠品,）",背包
334134,金宝贝学能中心园地（惠氏赠品）,惠氏,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,"金宝贝,惠氏","金宝贝,学,能,中心,园地,（,惠氏,赠品,）",
10916548,托马斯 字母贴（惠婴乐赠品）,托马斯,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,托马斯,"托马斯, ,字母,贴,（,惠,婴,乐,赠品,）",贴
9612606,啾啾三层奶粉盒(赠品),明治,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,啾啾,"啾啾,三层,奶,粉盒,(,赠品,)",粉盒
9612628,小龙哈彼餐桌椅(赠品),明治,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,小龙哈彼,"小龙哈彼,餐桌椅,(,赠品,)",
9596207,明治婴幼儿服饰八件套(赠品),明治,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,明治,"明治,婴幼儿,服饰,八,件,套,(,赠品,)",服饰
9612617,皇室积木家族箱(赠品),明治,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,皇室,"皇室,积木,家族,箱,(,赠品,)",积木
9784116,喜多单包装湿巾(澳优赠品),澳优,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,"喜多,澳优","喜多,单包装,湿巾,(,澳优,赠品,)",湿巾
9784014,澳优 能力多有机婴儿配方奶粉1（0-6月) 800g/听(赠品),澳优,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,澳优,"澳优, ,能力多,有机,婴儿,配方,奶粉,1,（,0,-,6,月,), ,800g,/,听,(,赠品,)","婴儿,奶粉"
10488785,澳贝 摇铃五件套(赠品),澳贝,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,澳贝,"澳贝, ,摇铃,五件套,(,赠品,)",摇铃
10071622,玩具总动员 8寸巴斯光年(赠品),玩具总动员3,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,玩具总动员,"玩具总动员, ,8,寸,巴斯,光年,(,赠品,)",
10040854,维曦 卡通座钟（赠品）,维曦,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,维曦,"维曦, ,卡通,座钟,（,赠品,）",座钟
10116015,美素 亲子大礼包 （颜色随机）赠品,美素,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,美素,"美素, ,亲子,大礼包, ,（,颜色,随机,）,赠品",
10276730,美素 画册(赠品),美素,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,美素,"美素, ,画册,(,赠品,)",画册
11724995,贝亲 餐具套装（赠品）,贝亲,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,贝亲,"贝亲, ,餐具套装,（,赠品,）",
10811333,邦宝 消防积木套装（雅培赠品）,邦宝,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,邦宝,"邦宝, ,消防,积木,套装,（,雅培,赠品,）","积木,套装"
329679,华纳儿童滑板车（雅培赠品）,雅培,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,"华纳,雅培","华纳,儿童,滑板车,（,雅培,赠品,）",滑板车
485052,喜羊羊儿童手表套装（雅培赠品）,雅培,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,"喜羊羊,雅培","喜羊羊,儿童,手表,套装,（,雅培,赠品,）","手表,套装"
458720,小龙哈比自行车（雅培赠品）,雅培,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,雅培,"小龙,哈,比,自行车,（,雅培,赠品,）",自行车
329657,智力工程车（雅培赠品）,雅培,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,"智力,雅培","智力,工程车,（,雅培,赠品,）",
9701295,智力拼插积木一套（雅培赠品）,雅培,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,"智力,雅培","智力,拼插积木,一套,（,雅培,赠品,）",拼插积木
531408,电动带灯光玩具车（雅培赠品）,雅培,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,雅培,"电动,带,灯光,玩具车,（,雅培,赠品,）",
531419,红外线多功能机器人电脑学习机（雅培赠品）,雅培,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,雅培,"红外线,多功能,机器人,电脑,学习机,（,雅培,赠品,）",学习机
335671,维克斯电动摩托车（雅培赠品）,雅培,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,"维克斯,雅培","维克斯,电动摩托车,（,雅培,赠品,）",电动摩托车
11425891,A+孕妇百科(赠品),,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,,"a,+,孕妇,百科,(,赠品,)",百科
10089904,创意游戏桌（赠品）,,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,,"创意,游戏,桌,（,赠品,）",
11425915,创意磁性拼图(赠品),,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,,"创意,磁性,拼图,(,赠品,)",拼图
10244129,变形金刚(赠品),,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,变形金刚,"变形金刚,(,赠品,)",
10772799,喜洋洋儿童床品三件套（赠品）,,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,,"喜洋洋,儿童,床品,三件套,（,赠品,）",床品
10772788,喜洋洋儿童游戏桌（赠品）,,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,,"喜洋洋,儿童,游戏,桌,（,赠品,）",
10772777,喜洋洋暖意手套（赠品）,,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,,"喜洋洋,暖意,手套,（,赠品,）",手套
10772766,喜洋洋玩偶（赠品）,,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,,"喜洋洋,玩偶,（,赠品,）",
11067177,宝宝飞凡蜕变成长录（赠品）,,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,,"宝宝,飞,凡,蜕变,成长,录,（,赠品,）",
10499793,小龙哈彼电动车(辆)(赠品),,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,小龙哈彼,"小龙哈彼,电动车,(,辆,),(,赠品,)",电动车
10593778,托腹秀身两用带(赠品),,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,,"托,腹,秀,身,两用,带,(,赠品,)",
10787925,托马斯投篮架(赠品),,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,托马斯,"托马斯,投,篮架,(,赠品,)",
10560233,托马斯绘画架(赠品),,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,托马斯,"托马斯,绘,画架,(,赠品,)",画架
10980899,明治 儿童早教机（赠品）,,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,明治,"明治, ,儿童,早教机,（,赠品,）",早教机
12129372,梦想家园（赠品）,,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,,"梦想家园,（,赠品,）",
10876467,电子琴（3738）（赠品）,,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,,"电子琴,（,3738,）,（,赠品,）",
10876478,飞利浦 电热水壶（HD4609）（赠品）,,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,飞利浦,"飞利浦, ,电热水壶,（,hd4609,）,（,赠品,）",电热水壶
10186886,魔力涂鸦画板（赠品）,,0-5117-5984-18144:母婴食品、母婴用品-奶粉系列-奶粉赠品,,魔力,"魔力,涂鸦,画板,（,赠品,）",画板
9980545,亨氏 超金康儿高婴儿配方奶粉 400g/盒(0-12个月),亨氏,0-5117-5984-18224:母婴食品、母婴用品-奶粉系列-1段奶粉,,亨氏,"亨氏, ,超,金,康,儿,高,婴儿,配方,奶粉, ,400g,/,盒,(,0,-,12,个月,)","婴儿,奶粉"
10555483,亨氏 超金康儿高婴儿配方奶粉 400g/盒(0-12个月) 6盒装,亨氏,0-5117-5984-18224:母婴食品、母婴用品-奶粉系列-1段奶粉,,亨氏,"亨氏, ,超,金,康,儿,高,婴儿,配方,奶粉, ,400g,/,盒,(,0,-,12,个月,), ,6,盒装","婴儿,奶粉"
9980534,亨氏 超金康儿高婴儿配方奶粉 900g/罐（0-12个月）,亨氏,0-5117-5984-18224:母婴食品、母婴用品-奶粉系列-1段奶粉,,亨氏,"亨氏, ,超,金,康,儿,高,婴儿,配方,奶粉, ,900g,/,罐,（,0,-,12,个月,）","婴儿,奶粉"
10555472,亨氏 超金康儿高婴儿配方奶粉 900g/罐（0-12个月） 2罐装,亨氏,0-5117-5984-18224:母婴食品、母婴用品-奶粉系列-1段奶粉,,亨氏,"亨氏, ,超,金,康,儿,高,婴儿,配方,奶粉, ,900g,/,罐,（,0,-,12,个月,）, ,2,罐装","婴儿,奶粉"
9543297,光明牌优幼1段婴儿配方奶粉400g盒装,光明,0-5117-5984-18224:母婴食品、母婴用品-奶粉系列-1段奶粉,,,"光,明牌,优,幼,1,段,婴儿,配方,奶粉,400g,盒装","婴儿,奶粉"
