"ProductCode","ProductName","BrandName","CategoryName","NameSubtitle","BrandWords","SplitedWords","CategoryWords"
"9571533","FisherPrice 费雪 米奇毛绒玩偶P4437","FisherPrice 费雪","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"fisherprice,费雪","fisherprice, ,费雪, ,米奇,毛绒玩偶,p4437","毛绒玩偶"
"9652180","JELLYCAT 外贸丛林猴子 (W)20*(H)46 cm","JELLYCAT","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"jellycat,外贸","jellycat, ,外贸,丛林,猴子, ,(,w,),20,*,(,h,),46, ,cm",""
"9651847","METOO 招财龟黄色毛绒手机座(赠蕾丝水晶鞋手机座) (L)20*(H)8 cm","METOO","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"metoo","metoo, ,招财,龟,黄色,毛绒,手机座,(,赠,蕾丝,水晶鞋,手机座,), ,(,l,),20,*,(,h,),8, ,cm",""
"10765125","Metoo 唐装吉祥如意兔 福字红色 小号25CM","Metoo","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"metoo","metoo, ,唐装,吉祥如意,兔, ,福字,红色, ,小号,25cm",""
"10765158","Metoo 唐装吉祥如意兔 肚兜红色 小号25CM","Metoo","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"metoo","metoo, ,唐装,吉祥如意,兔, ,肚兜,红色, ,小号,25cm",""
"9652102","RUSS 外贸泰迪熊卷毛丝带 深棕 大号 (W)35*(H)50 cm","RUSS","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"russ,外贸","russ, ,外贸,泰迪熊,卷毛,丝带, ,深,棕, ,大号, ,(,w,),35,*,(,h,),50, ,cm","泰迪熊"
"9652099","RUSS 泰迪熊卷毛丝带深棕特 大号75cm (W)40*(H)75 cm","RUSS","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"russ","russ, ,泰迪熊,卷毛,丝带,深,棕,特, ,大号,75cm, ,(,w,),40,*,(,h,),75, ,cm","泰迪熊"
"9634677","万代（BANDAI）优优17cm","万代（BANDAI）-优优","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"万代,优优","万代,（,bandai,）,优优,17cm",""
"9634768","万代（BANDAI）优优30cm","万代（BANDAI）-优优","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"万代,优优","万代,（,bandai,）,优优,30cm",""
"9634928","万代（BANDAI）优优和电子小轮车","万代（BANDAI）-优优","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"万代,优优","万代,（,bandai,）,优优,和,电子,小,轮,车",""
"9634688","万代（BANDAI）优优巴托17cm","万代（BANDAI）-优优","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"万代,优优","万代,（,bandai,）,优优,巴,托,17cm",""
"9634780","万代（BANDAI）优优巴托30cm","万代（BANDAI）-优优","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"万代,优优","万代,（,bandai,）,优优,巴,托,30cm",""
"9634940","万代（BANDAI）优优布袋木偶-优优","万代（BANDAI）-优优","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"万代,优优,优优","万代,（,bandai,）,优优,布袋,木偶,-,优优",""
"9634962","万代（BANDAI）优优布袋木偶-艾丽","万代（BANDAI）-优优","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"万代,优优","万代,（,bandai,）,优优,布袋,木偶,-,艾丽",""
"9634826","万代（BANDAI）优优方块","万代（BANDAI）-优优","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"万代,优优","万代,（,bandai,）,优优,方块",""
"9634699","万代（BANDAI）优优艾丽17cm","万代（BANDAI）-优优","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"万代,优优","万代,（,bandai,）,优优,艾丽,17cm",""
"9634804","万代（BANDAI）优优艾丽30cm","万代（BANDAI）-优优","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"万代,优优","万代,（,bandai,）,优优,艾丽,30cm",""
"9634746","万代（BANDAI）优优芭蕾舞艾丽17cm","万代（BANDAI）-优优","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"万代,优优","万代,（,bandai,）,优优,芭蕾舞,艾丽,17cm",""
"9634724","万代（BANDAI）优优超级优优17cm","万代（BANDAI）-优优","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"万代,优优,优优","万代,（,bandai,）,优优,超级,优优,17cm",""
"9634702","万代（BANDAI）优优鲁拉17cm","万代（BANDAI）-优优","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"万代,优优","万代,（,bandai,）,优优,鲁,拉,17cm",""
"10499715","凯艺09DL001多丽兔子","凯艺玩具","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"","凯艺,09dl001,多丽,兔子",""
"10499737","凯艺10LY089兔子（大号）","凯艺玩具","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"","凯艺,10ly089,兔子,（,大号,）",""
"10499704","凯艺LY085大趴狗","凯艺玩具","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"","凯艺,ly085,大,趴,狗",""
"10499760","凯艺波密犬（10LY087中号）","凯艺玩具","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"","凯艺,波密,犬,（,10ly087,中号,）",""
"10499691","凯艺玩具 LY025 大熊","凯艺玩具","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"凯艺玩具","凯艺玩具, ,ly025, ,大熊",""
"10499726","凯艺金棕狗（LY086站）","凯艺玩具","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"","凯艺,金棕,狗,（,ly086,站,）",""
