ProductCode,ProductName,BrandName,CategoryName,NameSubtitle,BrandWords,SplitedWords,CategoryWords
10659355,ASUS 华硕 A42EN83DQ-SL 14.0 英寸笔记本电脑 （AMD N830 2G 320G 512M独显 DVDRW DOS）,ASUS 华硕,"0-21392-21393-21401:电脑,软件,办公用品-电脑整机-笔记本电脑 ",,"asus,华硕,amd","asus, ,华硕, ,a42en83dq,-,sl, ,14.0, ,英寸,笔记本电脑, ,（,amd, ,n830, ,2g, ,320g, ,512m,独显, ,dvdrw, ,dos,）",笔记本电脑
11435964,ASUS 华硕 EeePC  AX 1215P  N570/500D/2G/US/1B/WOC/V/L044/CN 亮红,ASUS 华硕,"0-21392-21393-21401:电脑,软件,办公用品-电脑整机-笔记本电脑 ",,"asus,华硕,ax,us","asus, ,华硕, ,eeepc, , ,ax, ,1215p, , ,n570,/,500d,/,2g,/,us,/,1b,/,woc,/,v,/,l044,/,cn, ,亮,红",
10659537,ASUS 华硕 G60WI72J-SL 16英寸 笔记本电脑 （i7-720QM/4G/500G/DVDRW/独显/无线/摄像头/蓝牙）,ASUS 华硕,"0-21392-21393-21401:电脑,软件,办公用品-电脑整机-笔记本电脑 ",,"asus,华硕","asus, ,华硕, ,g60wi72j,-,sl, ,16,英寸, ,笔记本电脑, ,（,i7,-,720qm,/,4g,/,500g,/,dvdrw,/,独显,/,无线,/,摄像头,/,蓝牙,）","笔记本电脑,摄像头,蓝牙"
10659480,ASUS 华硕 N43EI46JF-SL 14.0 英寸笔记本电脑 （i5-460M 2G 500G 1G独显 GT425 DVDRW Win7）,ASUS 华硕,"0-21392-21393-21401:电脑,软件,办公用品-电脑整机-笔记本电脑 ",,"asus,华硕","asus, ,华硕, ,n43ei46jf,-,sl, ,14.0, ,英寸,笔记本电脑, ,（,i5,-,460m, ,2g, ,500g, ,1g,独显, ,gt425, ,dvdrw, ,win7,）",笔记本电脑
10659526,ASUS 华硕 NX90UI74JQ-BL 18.4 英寸笔记本电脑（i7-740QM 4G 7200转1000G 1G独显 Combo光驱 WIN7）,ASUS 华硕,"0-21392-21393-21401:电脑,软件,办公用品-电脑整机-笔记本电脑 ",,"asus,华硕","asus, ,华硕, ,nx90ui74jq,-,bl, ,18.4, ,英寸,笔记本电脑,（,i7,-,740qm, ,4g, ,7200,转,1000g, ,1g,独显, ,combo,光驱, ,win7,）","笔记本电脑,光驱"
10274416,ASUS 华硕 笔记本电脑X88E33VD-SL/31NDYXXU/14寸/1G/320G/5400转,ASUS 华硕,"0-21392-21393-21401:电脑,软件,办公用品-电脑整机-笔记本电脑 ",,"asus,华硕","asus, ,华硕, ,笔记本电脑,x88e33vd,-,sl,/,31ndyxxu,/,14,寸,/,1g,/,320g,/,5400,转",笔记本电脑
10869246,"Apple 苹果 MacBook Air 11.6"" 笔记本电脑 -MC505CH/A 1.40GHz/2GB/64GB SSD",Apple 苹果,"0-21392-21393-21401:电脑,软件,办公用品-电脑整机-笔记本电脑 ",,"apple,苹果","apple, ,苹果, ,macbook, ,air, ,11.6,"", ,笔记本电脑, ,-,mc505ch,/,a, ,1.40ghz,/,2gb,/,64gb, ,ssd","苹果,笔记本电脑"
10869268,"Apple 苹果 MacBook Air 13.3"" 笔记本电脑 -MC503CH/A 1.86GHz/2GB/128GB SSD",Apple 苹果,"0-21392-21393-21401:电脑,软件,办公用品-电脑整机-笔记本电脑 ",,"apple,苹果","apple, ,苹果, ,macbook, ,air, ,13.3,"", ,笔记本电脑, ,-,mc503ch,/,a, ,1.86ghz,/,2gb,/,128gb, ,ssd","苹果,笔记本电脑"
11147914,"Apple 苹果 MacBook Pro 13.3"" 笔记本电脑 -MC724CH/A i5-2.7GHz/4GB/500G",Apple 苹果,"0-21392-21393-21401:电脑,软件,办公用品-电脑整机-笔记本电脑 ",,"apple,苹果,pro","apple, ,苹果, ,macbook, ,pro, ,13.3,"", ,笔记本电脑, ,-,mc724ch,/,a, ,i5,-,2.7ghz,/,4gb,/,500g","苹果,笔记本电脑"
10039733,Apple 苹果 MacBook Pro 13.3“ 笔记本电脑 -MC374CH/A 2.3GHz/4GB/250G,Apple 苹果,"0-21392-21393-21401:电脑,软件,办公用品-电脑整机-笔记本电脑 ",,"apple,苹果,pro","apple, ,苹果, ,macbook, ,pro, ,13.3,“, ,笔记本电脑, ,-,mc374ch,/,a, ,2.3ghz,/,4gb,/,250g","苹果,笔记本电脑"
