ProductName,SplitedWords,BrandWords,品牌数,CategoryWords,类别数,CategoryName,BrandName,ProductCode
PBA黑头终结液30ml,"pba, 黑, 头, 终, 结, 液, 30ml",pba,1,,0,0-5009-5010-16972:美容化妆、个人护理-面部护肤-祛黑头,PBA,11459908
女人我最大中华百草中草药去黑头贴10贴(女人我最大热推),"女人我最大, 中华, 百, 草, 中, 草, 药, 去, 黑, 头, 贴, 10, 贴, (, 女人我最大, 热, 推, )",女人我最大,1,"贴, 贴",2,0-5009-5010-16972:美容化妆、个人护理-面部护肤-祛黑头,女人我最大,9782381
3E痘痘清洁面膏100ml,"3e, 痘, 痘, 清, 洁面膏, 100ml",3e,1,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,3E,11049584
BeDook比度克黑头导出液30g,"bedook, 比度克, 黑, 头, 导, 出, 液, 30g",bedook,1,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,BeDook比度克,9602920
Cetaphil丝塔芙洗面奶200ml,"cetaphil, 丝塔芙, 洗面奶, 200ml",cetaphil,1,洗面奶,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Cetaphil 丝塔芙,233465
Cetaphil丝塔芙洗面奶200ml买就送价值36元的夏依清洁湿巾16片,"cetaphil, 丝塔芙, 洗面奶, 200ml, 买, 就, 送, 价, 值, 36, 元, 的, 夏依, 清洁, 湿巾, 16, 片",cetaphil,1,"洗面奶, 清洁, 湿巾",3,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Cetaphil 丝塔芙,10674507
Doctor Li李医生去角质死皮啫喱 40g+李医生透明质酸补水霜50g,"doctor li, 李医生, 去, 角, 质, 死皮, 啫, 喱,  , 40g, +, 李医生, 透, 明, 质, 酸, 补, 水, 霜, 50g",doctor li,1,水,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Doctor li 李医生,10790893
Doctor Li李医生嫩白去死皮素 30g+李医生玫瑰美白保湿霜50g,"doctor li, 李医生, 嫩, 白, 去, 死皮, 素,  , 30g, +, 李医生, 玫, 瑰, 美白, 保湿, 霜, 50g",doctor li,1,"美白, 保湿",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Doctor li 李医生,10790917
Doctor Li李医生毛孔细致洁面乳100g+李医生净油爽肤水120ml,"doctor li, 李医生, 毛, 孔, 细, 致, 洁面, 乳, 100g, +, 李医生, 净油, 爽肤水, 120ml",doctor li,1,"洁面, 爽肤水",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Doctor li 李医生,10790906
GF高夫容耀抗皱精粹洁面乳120g,"gf, 高夫, 容, 耀, 抗, 皱, 精, 粹, 洁面, 乳, 120g",gf,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,GF,11046789
Garnier卡尼尔真采净白泡沫美白洁面乳100ml+卡尼尔 水润凝护娇柔特润精华凝露 50ml,"garnier, 卡尼尔, 真采, 净, 白, 泡, 沫, 美白, 洁面, 乳, 100ml, +, 卡尼尔,  , 水润, 凝护, 娇, 柔, 特润, 精华, 凝露,  , 50ml",garnier,1,"美白, 洁面, 精华",3,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Garnier 卡尼尔,10616758
Hada Labo卵肌系列 卵肌去角质洁面泡沫 160ml,"hada labo, 卵肌, 系, 列,  , 卵肌, 去, 角, 质, 洁面, 泡, 沫,  , 160ml",hada labo,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Hada Labo 肌研,282860
Hada Labo卵肌系列 肌研去角质洁面乳 130g（促）,"hada labo, 卵肌, 系, 列,  , 肌研, 去, 角, 质, 洁面, 乳,  , 130g, （, 促, ）",hada labo,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Hada Labo肌研,174696
Hada Labo极润系列 肌研极润洁面乳 100g,"hada labo, 极润, 系, 列,  , 肌研, 极润, 洁面, 乳,  , 100g",hada labo,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Hada Labo肌研,174710
Hada Labo极润系列 肌研极润洁面乳 50g,"hada labo, 极润, 系, 列,  , 肌研, 极润, 洁面, 乳,  , 50g",hada labo,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Hada Labo肌研,174721
Hada Labo白润系列 肌研白润洁面乳 100g（促）,"hada labo, 白, 润, 系, 列,  , 肌研, 白, 润, 洁面, 乳,  , 100g, （, 促, ）",hada labo,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Hada Labo肌研,174732
Hada Labo白润系列 肌研白润洁面乳 50g,"hada labo, 白, 润, 系, 列,  , 肌研, 白, 润, 洁面, 乳,  , 50g",hada labo,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,Hada Labo肌研,174743
JUJU 欧曼诗透明质酸保湿洁面泡 150m,"juju,  , 欧曼诗, 透, 明, 质, 酸, 保湿, 洁面, 泡,  , 150m",juju,1,"保湿, 洁面",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,JUJU欧曼诗,10742162
JUJU 欧曼诗透明质酸保湿洁面膏 120g,"juju,  , 欧曼诗, 透, 明, 质, 酸, 保湿, 洁面膏,  , 120g",juju,1,保湿,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,JUJU欧曼诗,10742151
JUST BB嘉丝肤缇卓颜草本精华洁面乳  200ml,"just,  , bb, 嘉, 丝, 肤, 缇, 卓, 颜, 草, 本, 精华, 洁面, 乳,  ,  , 200ml",just,1,"本, 精华, 洁面",3,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,JUST BB,11095300
