"ProductCode","ProductName","BrandName","CategoryName","NameSubtitle","BrandWords","SplitedWords","CategoryWords"
"11459908","PBA黑头终结液30ml","PBA","0-5009-5010-16972:美容化妆、个人护理-面部护肤-祛黑头",,"pba","pba,黑头,终结,液,30ml",""
"9782381","女人我最大中华百草中草药去黑头贴10贴(女人我最大热推)","女人我最大","0-5009-5010-16972:美容化妆、个人护理-面部护肤-祛黑头",,"女人我最大","女人,我最,大中华,百草,中草药,去黑头,贴,10,贴,(,女人我最大,热,推,)","贴"
"11049584","3E痘痘清洁面膏100ml","3E","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"3e","3e,痘痘,清,洁面膏,100ml","洁面膏"
"9602920","BeDook比度克黑头导出液30g","BeDook比度克","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"bedook,比度克","bedook,比度克,黑头,导出,液,30g",""
"233465","Cetaphil丝塔芙洗面奶200ml","Cetaphil 丝塔芙","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"cetaphil,丝塔芙","cetaphil,丝塔芙,洗面奶,200ml","洗面奶"
"10674507","Cetaphil丝塔芙洗面奶200ml买就送价值36元的夏依清洁湿巾16片","Cetaphil 丝塔芙","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"cetaphil,丝塔芙","cetaphil,丝塔芙,洗面奶,200ml,买,就送,价值,36,元,的,夏依,清洁,湿巾,16,片","洗面奶,湿巾"
"10790893","Doctor Li李医生去角质死皮啫喱 40g+李医生透明质酸补水霜50g","Doctor li 李医生","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"doctor li,李医生,李医生","doctor li,李医生,去角质,死皮,啫喱, ,40g,+,李医生,透明质酸,补水,霜,50g","啫喱"
"10790917","Doctor Li李医生嫩白去死皮素 30g+李医生玫瑰美白保湿霜50g","Doctor li 李医生","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"doctor li,李医生,李医生","doctor li,李医生,嫩白,去死皮,素, ,30g,+,李医生,玫瑰,美白,保湿霜,50g",""
"10790906","Doctor Li李医生毛孔细致洁面乳100g+李医生净油爽肤水120ml","Doctor li 李医生","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"doctor li,李医生,李医生","doctor li,李医生,毛孔,细致,洁面乳,100g,+,李医生,净油,爽肤水,120ml","洁面乳,爽肤水"
"11046789","GF高夫容耀抗皱精粹洁面乳120g","GF","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"gf","gf,高夫,容,耀,抗皱,精粹,洁面乳,120g","洁面乳"
"10616758","Garnier卡尼尔真采净白泡沫美白洁面乳100ml+卡尼尔 水润凝护娇柔特润精华凝露 50ml","Garnier 卡尼尔","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"garnier,卡尼尔,卡尼尔","garnier,卡尼尔,真采,净白,泡沫,美白,洁面乳,100ml,+,卡尼尔, ,水润,凝护,娇柔,特润,精华,凝露, ,50ml","洁面乳,精华"
"282860","Hada Labo卵肌系列 卵肌去角质洁面泡沫 160ml","Hada Labo 肌研","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"hada labo","hada labo,卵肌,系列, ,卵肌,去角质,洁面,泡沫, ,160ml","洁面"
"174696","Hada Labo卵肌系列 肌研去角质洁面乳 130g（促）","Hada Labo肌研","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"hada labo","hada labo,卵肌,系列, ,肌研,去角质,洁面乳, ,130g,（,促,）","洁面乳"
"174710","Hada Labo极润系列 肌研极润洁面乳 100g","Hada Labo肌研","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"hada labo","hada labo,极润,系列, ,肌研,极润,洁面乳, ,100g","洁面乳"
"174721","Hada Labo极润系列 肌研极润洁面乳 50g","Hada Labo肌研","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"hada labo","hada labo,极润,系列, ,肌研,极润,洁面乳, ,50g","洁面乳"
"174732","Hada Labo白润系列 肌研白润洁面乳 100g（促）","Hada Labo肌研","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"hada labo","hada labo,白润,系列, ,肌研,白润,洁面乳, ,100g,（,促,）","洁面乳"
"174743","Hada Labo白润系列 肌研白润洁面乳 50g","Hada Labo肌研","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"hada labo","hada labo,白润,系列, ,肌研,白润,洁面乳, ,50g","洁面乳"
"10742162","JUJU 欧曼诗透明质酸保湿洁面泡 150m","JUJU欧曼诗","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"juju,欧曼诗","juju, ,欧曼诗,透明质酸,保湿,洁面,泡, ,150m","洁面"
"10742151","JUJU 欧曼诗透明质酸保湿洁面膏 120g","JUJU欧曼诗","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"juju,欧曼诗","juju, ,欧曼诗,透明质酸,保湿,洁面膏, ,120g","洁面膏"
"11095300","JUST BB嘉丝肤缇卓颜草本精华洁面乳  200ml","JUST BB","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","just, ,bb,嘉,丝,肤,缇,卓,颜,草本,精华,洁面乳, , ,200ml","精华,洁面乳"
"11095311","JUST BB嘉丝肤缇卓颜草本精华洁面泡沫  135ml","JUST BB","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","just, ,bb,嘉,丝,肤,缇,卓,颜,草本,精华,洁面,泡沫, , ,135ml","精华,洁面"
"11095322","JUST BB嘉丝肤缇天然果萃洗面霜 120ml","JUST BB","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","just, ,bb,嘉,丝,肤,缇,天然,果,萃,洗,面霜, ,120ml","面霜"
"11095355","JUST BB嘉丝肤缇玫瑰花洗面霜  120ml","JUST BB","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","just, ,bb,嘉,丝,肤,缇,玫瑰花,洗,面霜, , ,120ml","面霜"
"11095333","JUST BB嘉丝肤缇芦荟洗面霜  120ml","JUST BB","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","just, ,bb,嘉,丝,肤,缇,芦荟,洗,面霜, , ,120ml","面霜"
"11095344","JUST BB嘉丝肤缇鳄梨青柠洗面霜  120ml","JUST BB","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","just, ,bb,嘉,丝,肤,缇,鳄梨,青柠,洗,面霜, , ,120ml","面霜"
"9659841","Kose高丝娜蔻纯皙靓白洁肤乳150g","Kose高丝","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"kose","kose,高丝娜蔻,纯,皙,靓白,洁肤乳,150g","洁肤乳"
"9660417","Kose高丝润肌精洁肤油175ml","Kose高丝","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"kose","kose,高丝润肌精,洁肤,油,175ml","洁肤"
"9654551","Kose高丝雪肌精洁肤霜140g","Kose高丝","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"kose","kose,高丝,雪肌精,洁肤,霜,140g","洁肤"
"9659692","Kose高丝雪肌精美白洗颜乳140ml","Kose高丝","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"kose","kose,高丝,雪肌精,美白,洗颜,乳,140ml",""
"9783862","MISS FACE 大米雪颜浸透美白洗面奶150g","MISS FACE","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"miss face","miss face, ,大,米雪,颜,浸透,美白,洗面奶,150g","洗面奶"
"9549308","MISSFACE豆乳保水柔和洗面奶150g","MISS FACE","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","missface,豆乳,保水,柔和,洗面奶,150g","洗面奶"
"9549262","MISSFACE豆乳润白修护去角质霜80g","MISS FACE","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","missface,豆乳,润白,修护,去角质霜,80g","修护"
"9549284","MISSFACE豆乳清爽控油洗面奶150g","MISS FACE","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","missface,豆乳,清爽,控油,洗面奶,150g","洗面奶"
"9549295","MISSFACE豆乳雪肌美白洗面奶150g","MISS FACE","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","missface,豆乳,雪,肌,美白,洗面奶,150g","洗面奶"
"9549671","MISSFACE透明质酸完美盈润滋养洗面奶150g","MISS FACE","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","missface,透明质酸,完美,盈润,滋养,洗面奶,150g","洗面奶"
"9549546","MISSFACE透明质酸新生修护去角质霜150g","MISS FACE","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","missface,透明质酸,新生,修护,去角质霜,150g","修护"
"9549819","MISSFACE透明质酸新生紧致活肤洗面奶150g","MISS FACE","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","missface,透明质酸,新生,紧致,活肤,洗面奶,150g","洗面奶"
"9549660","MISSFACE透明质酸水感净白莹采洗面奶150g","MISS FACE","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","missface,透明质酸,水感,净白,莹,采,洗面奶,150g","洗面奶"
"9549557","MISSFACE透明质酸美肌舒润卸妆乳150ml","MISS FACE","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"舒润","missface,透明质酸,美肌,舒润,卸妆乳,150ml","卸妆乳"
"11246290","Neutrogena露得清深层净化洗面乳100g*2","Neutrogena 露得清","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"neutrogena","neutrogena,露得清,深层,净化,洗面乳,100g,*,2","洗面乳"
"10505074","Neutrogena露得清深层净化洗面乳100g+Neutrogena露得清细白修护面膜5片装(新包装) ","Neutrogena 露得清","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"neutrogena,neutrogena","neutrogena,露得清,深层,净化,洗面乳,100g,+,neutrogena,露得清,细白,修护,面膜,5,片,装,(,新包装,), ","洗面乳,面膜"
"11459931","PBA 芭蓓萃 玫瑰洁面摩丝120ml","PBA","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"pba","pba, ,芭,蓓,萃, ,玫瑰,洁面,摩丝,120ml","洁面"
"11459919","PBA柔嫩角质磨砂30ml","PBA","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"pba","pba,柔嫩,角质,磨砂,30ml",""
"11459895","PBA活泉水洁面啫喱100ml","PBA","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"pba","pba,活,泉水,洁面,啫喱,100ml","活,洁面"
"11459884","PBA红石榴活能洁面乳120ml","PBA","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"pba","pba,红石榴,活,能,洁面乳,120ml","活,洁面乳"
"11459873","PBA美白保湿洁面乳120ml","PBA","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"pba","pba,美白,保湿,洁面乳,120ml","洁面乳"
"11459920","PBA芭蓓萃 丝瓜美白洁面乳120ml","PBA","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"pba","pba,芭,蓓,萃, ,丝瓜,美白,洁面乳,120ml","洁面乳"
"10690229","PayEasy NATURE自然保养网薰衣草净白洁面胶120ml（台版）-","PayEasy","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"payeasy","payeasy, ,nature,自然,保养,网,薰衣草,净白,洁面,胶,120ml,（,台,版,）,-","洁面"
"10616714","旁氏臻金盈采金纯洁面乳100g+旁氏臻金盈采稚采眼部精华霜15ml","Pond's","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"旁氏,旁氏","旁氏,臻,金,盈,采,金,纯,洁面乳,100g,+,旁氏,臻,金,盈,采,稚,采,眼部,精华霜,15ml","洁面乳"
"414982","The Face Shop清酒清洁磨砂啫哩 150ml","The Face Shop 菲诗小铺","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"the face shop","the face shop,清酒,清洁,磨砂,啫哩, ,150ml",""
"414880","The Face Shop米水亮白洁面油 150ml","The Face Shop 菲诗小铺","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"the face shop","the face shop,米,水,亮白,洁面,油, ,150ml","洁面"
"9665467","the face shop绿茶泡末洗面奶试用装(赠品)","The Face Shop 菲诗小铺","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"the face shop","the face shop,绿茶,泡,末,洗面奶,试用装,(,赠品,)","洗面奶"
"11183849","Udumbara优婵蓓雅清润花瓣洁面皂100g","Udumbara优婵蓓雅","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"udumbara,优婵蓓雅","udumbara,优婵蓓雅,清润,花瓣,洁,面皂,100g","花瓣"
"9673090","just bb去黑头蚕丝蛋白搓搓(赠品)","just bb","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","just, ,bb,去黑头,蚕丝,蛋白,搓搓,(,赠品,)",""
"9673089","just bb吸油面纸(赠品)","just bb","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"","just, ,bb,吸油,面纸,(,赠品,)",""
"11047237","popular玻儿清新能量洁面乳80g","popular玻儿","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"popular","popular,玻儿,清新,能量,洁面乳,80g","洁面乳"
"10043546","Za姬芮 菁采新生泡沫洁面膏100g","za姬芮","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"za","za,姬芮, ,菁,采,新生,泡沫,洁面膏,100g","洁面膏"
"10625317","Za姬芮卓能菁采新生洁面膏100g","za姬芮","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"za","za,姬芮,卓能,菁,采,新生,洁面膏,100g","洁面膏"
"10625077","Za姬芮洁面膏100g","za姬芮","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"za","za,姬芮,洁面膏,100g","洁面膏"
"21090","TJOY丁家宜活性矿泥洁面乳100g","丁家宜","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"tjoy,丁家宜","tjoy,丁家宜,活性,矿泥,洁面乳,100g","洁面乳"
"21056","TJOY丁家宜面容一洗白(美白控油性)120g","丁家宜","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"tjoy,丁家宜","tjoy,丁家宜,面容,一洗,白,(,美白,控,油性,),120g",""
"21067","TJOY丁家宜面容一洗白(美白滋润型)120g","丁家宜","0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面",,"tjoy,丁家宜","tjoy,丁家宜,面容,一洗,白,(,美白,滋润,型,),120g",""
