ProductCode,ProductName,BrandName,CategoryName,NameSubtitle,BrandWords,SplitedWords,CategoryWords
9528238,新西兰十一坊红葡萄籽软胶囊740mg*100粒+修身堂神奇修身咖啡25日装,十一坊,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,,"新西兰十一坊,修身堂,神奇","新西兰十一坊,红,葡萄籽,软,胶,囊,740mg,*,100,粒,+,修身堂,神奇,修身咖啡,25,日,装","葡萄籽,修身咖啡"
11398860,清华紫光金奥力防辐射抗过敏套餐（葡萄籽500mg/粒*100粒+螺旋藻500mg/粒*100粒+β－胡萝卜素250mg*200片）,清华紫光,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,,清华紫光金奥力,"清华紫光金奥力,防辐射,抗过敏,套,餐,（,葡萄籽,500mg,/,粒,*,100,粒,+,螺旋藻,500mg,/,粒,*,100,粒,+,β,－,胡萝卜素,250mg,*,200,片,）","葡萄籽,螺旋藻,胡萝卜素"
514658,澳琳达 葡萄籽复合胶囊600mg×90粒/瓶,澳琳达,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,,澳琳达,"澳琳达, ,葡萄籽,复,合,胶,囊,600mg,×,90,粒,/,瓶",葡萄籽
11141701,粤微 破壁灵芝孢子粉提取物胶囊 300mg*90粒*2023566,粤微,0-8704-16165-20036:营养保健、健康器械-抗辐射/抑制肿瘤-灵芝/孢子粉,,粤微,"粤微, ,破壁灵芝孢子粉,提,取,物,胶,囊, ,300mg,*,90,粒,*,2023566",破壁灵芝孢子粉
11176491,美澳健 灵芝孢子粉胶囊300mg*60粒,美澳健,0-8704-16165-20036:营养保健、健康器械-抗辐射/抑制肿瘤-灵芝/孢子粉,,美澳健,"美澳健, ,灵芝,孢子粉,胶,囊,300mg,*,60,粒","灵芝,孢子粉"
10969047,方回春堂 精装石斛礼盒 水草枫斗 100克,方回春堂,0-8704-16166-17559:营养保健、健康器械-滋补养生益智-滋补食材类,,方回春堂,"方回春堂, ,精,装,石斛,礼盒, ,水,草,枫斗, ,100,克","石斛,枫斗"
12185749,方回春堂 精装阿胶膏礼盒 600克 秘制八大膏方,方回春堂,0-8704-16166-17559:营养保健、健康器械-滋补养生益智-滋补食材类,,方回春堂,"方回春堂, ,精,装,阿胶膏,礼盒, ,600,克, ,秘制,八,大,膏,方",阿胶膏
12691064,【私房小厨】上海 松子核桃粉 700g  益智补脑乌发养肾,私房小厨,0-8704-16166-17559:营养保健、健康器械-滋补养生益智-滋补食材类,,"私房小厨,上海,松","【,私房小厨,】,上海, ,松,子,核桃粉, ,700g, , ,益智,补,脑,乌,发,养,肾",
9990710,总统牌北京同仁堂蜂蜜组合25g*4瓶/3号,总统牌,0-8704-16166-20048:营养保健、健康器械-滋补养生益智-蜂 蜜,,"总统牌,北京,同仁堂","总统牌,北京,同仁堂,蜂蜜,组,合,25g,*,4,瓶,/,3,号",蜂蜜
9731242,惠普生 蜂王浆软胶囊 0.5g*100粒,惠普生,0-8704-16166-20051:营养保健、健康器械-滋补养生益智-蜂王浆,,惠普生,"惠普生, ,蜂王浆,软,胶,囊, ,0.5g,*,100,粒",蜂王浆
9837892,佳蓓  聪聪乐软胶囊    500mg×100粒/瓶,佳蓓,0-8704-16166-20052:营养保健、健康器械-滋补养生益智-改善记忆,,佳蓓,"佳蓓, , ,聪,聪,乐,软,胶,囊, , , , ,500mg,×,100,粒,/,瓶",
11072234,可贝尔水嫩白冰爽防晒套装(面膜2片+防护霜30ml)赠品,可贝尔,0-8704-16166-20055:营养保健、健康器械-滋补养生益智-枣仁,,可贝尔,"可贝尔,水嫩,白,冰爽,防晒,套装,(,面膜,2,片,+,防护,霜,30ml,),赠,品","防晒,面膜,防护"
9687994,浦健氨基酸软胶囊500mg*110粒/瓶,浦健,0-8704-16172-17003:营养保健、健康器械-增强免疫/ 抗疲劳-氨基酸,,浦健,"浦健,氨基酸,软,胶,囊,500mg,*,110,粒,/,瓶",氨基酸
9733793,健民铁锌氨基酸口服液250ml*3瓶017433,珍迪,0-8704-16172-17003:营养保健、健康器械-增强免疫/ 抗疲劳-氨基酸,,健民,"健民,铁,锌,氨基酸,口,服,液,250ml,*,3,瓶,017433",氨基酸
