ProductName,SplitedWords,BrandWords,品牌数,CategoryWords,类别数,CategoryName,BrandName,ProductCode
佳蓓  葡萄籽天然维E软胶囊（去斑）800mg×60粒/瓶,"佳蓓,  ,  , 葡萄籽, 天, 然, 维, e, 软, 胶, 囊, （, 去, 斑, ）, 800mg, ×, 60, 粒, /, 瓶",佳蓓,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,佳蓓,9837687
女性美白套餐,"女, 性, 美白, 套, 餐",,0,美白,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,佳蓓,10878338
健佰龄 葡萄籽芦荟 60粒(平安药网),"健佰龄,  , 葡萄籽, 芦荟,  , 60, 粒, (, 平安, 药, 网, )",健佰龄,1,"葡萄籽, 芦荟",2,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,健佰龄,10035673
健康美国 葡萄籽胶囊640mg*100粒/瓶,"健康美国,  , 葡萄籽, 胶, 囊, 640mg, *, 100, 粒, /, 瓶",健康美国,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,健康美国,9701239
兴安来珍珠葡萄籽软胶囊500mg×100粒,"兴安来, 珍珠, 葡萄籽, 软, 胶, 囊, 500mg, ×, 100, 粒",兴安来,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,兴安来,10662278
凯灵葡萄籽提取物胶囊(90粒),"凯灵, 葡萄籽, 提, 取, 物, 胶, 囊, (, 90, 粒, )",凯灵,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,凯灵,9653503
凯镛金葡萄籽胶囊0.4g*60粒,"凯镛, 金, 葡萄籽, 胶, 囊, 0.4g, *, 60, 粒",凯镛,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,凯镛,11377814
加利善 葡萄籽胶囊 500mg*60粒019069,"加利善,  , 葡萄籽, 胶, 囊,  , 500mg, *, 60, 粒, 019069",加利善,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,加利善,9732961
*新西兰十一坊红葡萄籽软胶囊740mg*100粒022801,"*, 新西兰十一坊, 红, 葡萄籽, 软, 胶, 囊, 740mg, *, 100, 粒, 022801",,0,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,十一坊,10035913
新西兰十一坊红葡萄籽软胶囊740mg*100粒,"新西兰十一坊, 红, 葡萄籽, 软, 胶, 囊, 740mg, *, 100, 粒",,0,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,十一坊,573955
新西兰十一坊红葡萄籽软胶囊740mg*100粒+修身堂神奇修身咖啡25日装,"新西兰十一坊, 红, 葡萄籽, 软, 胶, 囊, 740mg, *, 100, 粒, +, 修身堂, 神奇, 修身咖啡, 25, 日, 装",修身堂,1,"葡萄籽, 修身咖啡",2,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,十一坊,9528238
新西兰十一坊红葡萄籽软胶囊740mg*100粒/瓶*2瓶(团购),"新西兰十一坊, 红, 葡萄籽, 软, 胶, 囊, 740mg, *, 100, 粒, /, 瓶, *, 2, 瓶, (, 团购, )",,0,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,十一坊,10987958
同仁堂牌葡萄籽提取物软胶囊450mg/粒*150粒,"同仁堂牌, 葡萄籽, 提, 取, 物, 软, 胶, 囊, 450mg, /, 粒, *, 150, 粒",同仁堂牌,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,同仁堂牌,9989699
同仁堂牌葡萄籽提取物软胶囊450mg/粒*60粒,"同仁堂牌, 葡萄籽, 提, 取, 物, 软, 胶, 囊, 450mg, /, 粒, *, 60, 粒",同仁堂牌,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,同仁堂牌,9989677
善元堂 葡萄籽软胶囊 500mg*100粒014060,"善元堂,  , 葡萄籽, 软, 胶, 囊,  , 500mg, *, 100, 粒, 014060",善元堂,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,善元堂,9732994
喜瑞 葡萄籽精胶囊 60粒/瓶,"喜瑞,  , 葡萄籽, 精, 胶, 囊,  , 60, 粒, /, 瓶",喜瑞,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,喜瑞,357448
喜瑞 葡萄籽精胶囊 60粒/瓶(平安药网)022851,"喜瑞,  , 葡萄籽, 精, 胶, 囊,  , 60, 粒, /, 瓶, (, 平安, 药, 网, ), 022851",喜瑞,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,喜瑞,10035402
大森林 葡萄籽油软胶囊 500mg*60粒012723,"大森林,  , 葡萄籽, 油, 软, 胶, 囊,  , 500mg, *, 60, 粒, 012723",大森林,1,"葡萄籽, 油",2,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,大森林,9733022
美国原装天然元葡萄籽提取物复合胶囊695mg*30粒,"美国, 原, 装, 天然元, 葡萄籽, 提, 取, 物, 复, 合, 胶, 囊, 695mg, *, 30, 粒",天然元,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,天然元,10950568
美国原装天然元葡萄籽提取物复合胶囊695mg*90粒,"美国, 原, 装, 天然元, 葡萄籽, 提, 取, 物, 复, 合, 胶, 囊, 695mg, *, 90, 粒",天然元,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,天然元,10091244
奥诺康 葡萄籽60粒/瓶,"奥诺康,  , 葡萄籽, 60, 粒, /, 瓶",奥诺康,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,奥诺康,140943
奥诺康 葡萄籽60粒/瓶(平安药网),"奥诺康,  , 葡萄籽, 60, 粒, /, 瓶, (, 平安, 药, 网, )",奥诺康,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,奥诺康,10036143
康倍施 葡萄籽花青素复合胶囊  650mg*60粒（美国原装进口）(平安药网）022530,"康倍施,  , 葡萄籽, 花青素, 复, 合, 胶, 囊,  ,  , 650mg, *, 60, 粒, （, 美国, 原, 装, 进, 口, ）, (, 平安, 药, 网, ）, 022530",康倍施,1,"葡萄籽, 花青素",2,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,康倍施,10103987
惠普生 葡萄籽胶囊 0.5g*60粒015900,"惠普生,  , 葡萄籽, 胶, 囊,  , 0.5g, *, 60, 粒, 015900",惠普生,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,惠普生,9732950
美国原装进口新生命葡萄籽片1000mg*100片,"美国, 原, 装, 进, 口, 新生命, 葡萄籽, 片, 1000mg, *, 100, 片",新生命,1,葡萄籽,1,0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽,新生命,11364968
