"ProductCode","ProductName","BrandName","CategoryName","NameSubtitle","BrandWords","SplitedWords","CategoryWords"
"9837687","佳蓓  葡萄籽天然维E软胶囊（去斑）800mg×60粒/瓶","佳蓓","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"佳蓓","佳蓓, , ,葡萄籽,天然,维,e,软胶囊,（,去斑,）,800mg,×,60,粒,/,瓶","葡萄籽"
"10878338","女性美白套餐","佳蓓","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"","女性,美白,套餐",""
"10035673","健佰龄 葡萄籽芦荟 60粒(平安药网)","健佰龄","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"健佰龄,平安","健佰龄, ,葡萄籽,芦荟, ,60,粒,(,平安,药网,)","葡萄籽"
"9701239","健康美国 葡萄籽胶囊640mg*100粒/瓶","健康美国","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"健康美国","健康美国, ,葡萄籽,胶囊,640mg,*,100,粒,/,瓶","葡萄籽"
"10662278","兴安来珍珠葡萄籽软胶囊500mg×100粒","兴安来","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"兴安来,珍珠","兴安来,珍珠,葡萄籽,软胶囊,500mg,×,100,粒","葡萄籽"
"9653503","凯灵葡萄籽提取物胶囊(90粒)","凯灵","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"凯灵","凯灵,葡萄籽,提取物,胶囊,(,90,粒,)","葡萄籽"
"11377814","凯镛金葡萄籽胶囊0.4g*60粒","凯镛","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"凯镛","凯镛,金,葡萄籽,胶囊,0.4g,*,60,粒","葡萄籽"
"9732961","加利善 葡萄籽胶囊 500mg*60粒019069","加利善","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"加利善","加利善, ,葡萄籽,胶囊, ,500mg,*,60,粒,019069","葡萄籽"
"10035913","*新西兰十一坊红葡萄籽软胶囊740mg*100粒022801","十一坊","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"新西兰十一坊","*,新西兰十一坊,红,葡萄籽,软胶囊,740mg,*,100,粒,022801","葡萄籽"
"573955","新西兰十一坊红葡萄籽软胶囊740mg*100粒","十一坊","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"新西兰十一坊","新西兰十一坊,红,葡萄籽,软胶囊,740mg,*,100,粒","葡萄籽"
"9528238","新西兰十一坊红葡萄籽软胶囊740mg*100粒+修身堂神奇修身咖啡25日装","十一坊","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"新西兰十一坊,修身堂,神奇","新西兰十一坊,红,葡萄籽,软胶囊,740mg,*,100,粒,+,修身堂,神奇,修身咖啡,25,日,装","葡萄籽,修身咖啡"
"10987958","新西兰十一坊红葡萄籽软胶囊740mg*100粒/瓶*2瓶(团购)","十一坊","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"新西兰十一坊","新西兰十一坊,红,葡萄籽,软胶囊,740mg,*,100,粒,/,瓶,*,2,瓶,(,团购,)","葡萄籽"
"9989699","同仁堂牌葡萄籽提取物软胶囊450mg/粒*150粒","同仁堂牌","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"同仁堂牌","同仁堂牌,葡萄籽,提取物,软胶囊,450mg,/,粒,*,150,粒","葡萄籽"
"9989677","同仁堂牌葡萄籽提取物软胶囊450mg/粒*60粒","同仁堂牌","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"同仁堂牌","同仁堂牌,葡萄籽,提取物,软胶囊,450mg,/,粒,*,60,粒","葡萄籽"
"9732994","善元堂 葡萄籽软胶囊 500mg*100粒014060","善元堂","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"善元堂","善元堂, ,葡萄籽,软胶囊, ,500mg,*,100,粒,014060","葡萄籽"
"357448","喜瑞 葡萄籽精胶囊 60粒/瓶","喜瑞","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"喜瑞","喜瑞, ,葡萄籽,精,胶囊, ,60,粒,/,瓶","葡萄籽"
"10035402","喜瑞 葡萄籽精胶囊 60粒/瓶(平安药网)022851","喜瑞","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"喜瑞,平安","喜瑞, ,葡萄籽,精,胶囊, ,60,粒,/,瓶,(,平安,药网,),022851","葡萄籽"
"9733022","大森林 葡萄籽油软胶囊 500mg*60粒012723","大森林","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"大森林","大森林, ,葡萄籽油,软胶囊, ,500mg,*,60,粒,012723",""
"10950568","美国原装天然元葡萄籽提取物复合胶囊695mg*30粒","天然元","0-8704-16165-17550:营养保健、健康器械-抗辐射/抑制肿瘤-葡萄籽",,"美国,天然元","美国,原装,天然元,葡萄籽,提取物,复合,胶囊,695mg,*,30,粒","葡萄籽"
