ProductName,SplitedWords,BrandWords,品牌数,CategoryWords,类别数,CategoryName,BrandName,ProductCode
屋里香 养颜特松条 顶级松仁 养颜美味 草本果仁 健康休闲 150克袋装 老上海特产好礼,"屋里香,  , 养, 颜, 特, 松, 条,  , 顶, 级, 松, 仁,  , 养, 颜, 美, 味,  , 草, 本, 果, 仁,  , 健康, 休闲,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"本, 健康, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108944
屋里香 南仁芝麻 香脆可口 草本果仁 健康休闲 绿色食品 150克袋装 老上海特产好礼,"屋里香,  , 南, 仁, 芝, 麻,  , 香, 脆, 可, 口,  , 草, 本, 果, 仁,  , 健康, 休闲,  , 绿, 色, 食品,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"本, 健康, 食品, 上海特产",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108933
屋里香 南枣核桃 健康 绿色 美味 时尚 260克时尚银盒装 老上海特产好礼,"屋里香,  , 南, 枣, 核桃,  , 健康,  , 绿, 色,  , 美, 味,  , 时, 尚,  , 260, 克, 时, 尚, 银, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"核桃, 健康, 盒, 上海特产",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108751
屋里香 南枣核桃 （不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼,"屋里香,  , 南, 枣, 核桃,  , （, 不, 添, 加, 蔗, 糖, ）, 无糖, 食品,  , 健康, 休闲,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"核桃, 食品, 健康, 上海特产",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108831
屋里香 双色果仁 软Q可口 草本果仁 健康休闲 绿色食品 150克袋装 老上海特产好礼,"屋里香,  , 双, 色, 果, 仁,  , 软, q, 可, 口,  , 草, 本, 果, 仁,  , 健康, 休闲,  , 绿, 色, 食品,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"本, 健康, 食品, 上海特产",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108875
屋里香 奶油五香豆 500克桶装 专利包装 送人体面 老上海特产好礼,"屋里香,  , 奶, 油, 五, 香, 豆,  , 500, 克, 桶, 装,  , 专, 利, 包, 装,  , 送, 人, 体, 面,  , 老, 上海特产, 好礼",屋里香,1,"油, 面, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108955
屋里香 奶油五香豆 老上海蓝色烟盒集锦 200克盒装 老上海特产好礼,"屋里香,  , 奶, 油, 五, 香, 豆,  , 老上海, 蓝, 色, 烟盒, 集, 锦,  , 200, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"油, 烟盒, 盒, 上海特产",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109129
屋里香 奶油五香豆 老上海风情红妆挂历 200克盒装 老上海特产好礼,"屋里香,  , 奶, 油, 五, 香, 豆,  , 老上海, 风, 情, 红, 妆, 挂历,  , 200, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"油, 挂历, 盒, 上海特产",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109130
屋里香 山楂松子糕 松软香浓 健康美味 200克盒装 老上海特产好礼,"屋里香,  , 山, 楂, 松, 子, 糕,  , 松, 软香, 浓,  , 健, 康美, 味,  , 200, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"盒, 上海特产",2,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109050
屋里香 山楂松子（不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼,"屋里香,  , 山, 楂, 松, 子, （, 不, 添, 加, 蔗, 糖, ）, 无糖, 食品,  , 健康, 休闲,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"食品, 健康, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108842
屋里香 山楂核桃糕 软Q香浓 美味不停 200克盒装 老上海特产好礼,"屋里香,  , 山, 楂, 核桃, 糕,  , 软, q, 香, 浓,  , 美, 味, 不, 停,  , 200, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"核桃, 盒, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109196
屋里香 松仁粽子糖 晶莹剔透 焦香诱人 200克盒装 老上海特产好礼,"屋里香,  , 松, 仁, 粽子糖,  , 晶, 莹, 剔, 透,  , 焦, 香, 诱, 人,  , 200, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"盒, 上海特产",2,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109049
屋里香 松仁粽子糖（不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼,"屋里香,  , 松, 仁, 粽子糖, （, 不, 添, 加, 蔗, 糖, ）, 无糖, 食品,  , 健康, 休闲,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"食品, 健康, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108795
屋里香 松仁香麻卷 香甜软Q 美味健康 150克盒装 老上海特产好礼,"屋里香,  , 松, 仁, 香, 麻, 卷,  , 香, 甜, 软, q,  , 美, 味, 健康,  , 150, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"健康, 盒, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109163
屋里香 松仁香麻片 松香浓浓 片片香脆 150克盒装 老上海特产好礼,"屋里香,  , 松, 仁, 香, 麻, 片,  , 松, 香, 浓, 浓,  , 片, 片, 香, 脆,  , 150, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"盒, 上海特产",2,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109174
屋里香 松子（白）芝麻薄片 香脆可口 健康休闲 绿色食品 150克袋装 老上海特产好礼,"屋里香,  , 松, 子, （, 白, ）, 芝, 麻, 薄, 片,  , 香, 脆, 可, 口,  , 健康, 休闲,  , 绿, 色, 食品,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"健康, 食品, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108886
屋里香 松子（白）芝麻薄片（不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼,"屋里香,  , 松, 子, （, 白, ）, 芝, 麻, 薄, 片, （, 不, 添, 加, 蔗, 糖, ）, 无糖, 食品,  , 健康, 休闲,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"食品, 健康, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108808
屋里香 松子（白）芝麻薄皮 软Q香甜 健康休闲 绿色食品 150克袋装 老上海特产好礼,"屋里香,  , 松, 子, （, 白, ）, 芝, 麻, 薄, 皮,  , 软, q, 香, 甜,  , 健康, 休闲,  , 绿, 色, 食品,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"健康, 食品, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108897
屋里香 松子（白）芝麻薄皮（不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼,"屋里香,  , 松, 子, （, 白, ）, 芝, 麻, 薄, 皮, （, 不, 添, 加, 蔗, 糖, ）, 无糖, 食品,  , 健康, 休闲,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"食品, 健康, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108819
屋里香 松子（黑）芝麻薄皮 软Q香甜 健康休闲 绿色食品 150克袋装 老上海特产好礼,"屋里香,  , 松, 子, （, 黑, ）, 芝, 麻, 薄, 皮,  , 软, q, 香, 甜,  , 健康, 休闲,  , 绿, 色, 食品,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"健康, 食品, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108900
屋里香 松软纯豆酥 280克盒装 老上海特产好礼 健康好吃 送礼体面,"屋里香,  , 松, 软, 纯, 豆, 酥,  , 280, 克, 盒, 装,  , 老, 上海特产, 好礼,  , 健康, 好, 吃,  , 送, 礼, 体, 面",屋里香,1,"盒, 上海特产, 健康, 面",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109209
屋里香 松麻核桃 健康 绿色 美味 时尚 260克时尚银盒装 老上海特产好礼,"屋里香,  , 松, 麻, 核桃,  , 健康,  , 绿, 色,  , 美, 味,  , 时, 尚,  , 260, 克, 时, 尚, 银, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"核桃, 健康, 盒, 上海特产",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108762
屋里香 松麻核桃（不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼,"屋里香,  , 松, 麻, 核桃, （, 不, 添, 加, 蔗, 糖, ）, 无糖, 食品,  , 健康, 休闲,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"核桃, 食品, 健康, 上海特产",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108820
屋里香 枣泥松子饼 430克桶装 专利包装 送人体面 老上海特产好礼,"屋里香,  , 枣, 泥, 松, 子, 饼,  , 430, 克, 桶, 装,  , 专, 利, 包, 装,  , 送, 人, 体, 面,  , 老, 上海特产, 好礼",屋里香,1,"面, 上海特产",2,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108977
屋里香 枣泥核桃糕 软Q香浓 美味不停 200克盒装 老上海特产好礼,"屋里香,  , 枣, 泥, 核桃, 糕,  , 软, q, 香, 浓,  , 美, 味, 不, 停,  , 200, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"核桃, 盒, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109185
屋里香 核桃花生糕 松软香浓 健康美味 200克盒装 老上海特产好礼,"屋里香,  , 核桃, 花生, 糕,  , 松, 软香, 浓,  , 健, 康美, 味,  , 200, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"核桃, 花生, 盒, 上海特产",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109061
屋里香 桂花五仁 400克桶装 专利包装 送人体面 老上海特产好礼,"屋里香,  , 桂花, 五, 仁,  , 400, 克, 桶, 装,  , 专, 利, 包, 装,  , 送, 人, 体, 面,  , 老, 上海特产, 好礼",屋里香,1,"面, 上海特产",2,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108966
屋里香 桂花果仁软糖 香甜可口 花香四溢 200克盒装 老上海特产好礼,"屋里香,  , 桂花, 果, 仁, 软, 糖,  , 香, 甜, 可, 口,  , 花香, 四, 溢,  , 200, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"糖, 盒, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109072
屋里香 楂精松子 健康 绿色 美味 时尚 260克时尚银盒装 老上海特产好礼,"屋里香,  , 楂, 精, 松, 子,  , 健康,  , 绿, 色,  , 美, 味,  , 时, 尚,  , 260, 克, 时, 尚, 银, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"健康, 盒, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108784
屋里香 海派经典 老八味4盒组合装 奶油五香豆 松子粽子糖 花茶果仁酥 多仁牛皮糖,"屋里香,  , 海, 派, 经, 典,  , 老, 八, 味, 4, 盒, 组, 合, 装,  , 奶, 油, 五, 香, 豆,  , 松, 子, 粽子糖,  , 花茶, 果, 仁, 酥,  , 多, 仁, 牛, 皮, 糖",屋里香,1,"派, 盒, 油, 花茶, 糖",5,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109038
屋里香 海苔花生 草本果仁 健康休闲 绿色食品 150克袋装 老上海特产好礼,"屋里香,  , 海苔, 花生,  , 草, 本, 果, 仁,  , 健康, 休闲,  , 绿, 色, 食品,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"海苔, 花生, 本, 健康, 食品, 上海特产",6,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108864
屋里香 清香松子 健康 绿色 美味 时尚 260克时尚银盒装 老上海特产好礼,"屋里香,  , 清, 香, 松, 子,  , 健康,  , 绿, 色,  , 美, 味,  , 时, 尚,  , 260, 克, 时, 尚, 银, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"健康, 盒, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108773
屋里香 清香松子 松香迷人 草本果仁 健康休闲 绿色食品 150克袋装 老上海特产好礼,"屋里香,  , 清, 香, 松, 子,  , 松, 香, 迷, 人,  , 草, 本, 果, 仁,  , 健康, 休闲,  , 绿, 色, 食品,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"本, 健康, 食品, 上海特产",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108911
屋里香 清香薄荷酥 松软清新 好吃又健康 200克盒装 老上海特产好礼,"屋里香,  , 清, 香, 薄, 荷, 酥,  , 松, 软, 清, 新,  , 好, 吃, 又, 健康,  , 200, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"健康, 盒, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109083
屋里香 滋补麻桃酥 280克盒装 老上海特产好礼 健康好吃 送礼体面,"屋里香,  , 滋, 补, 麻, 桃, 酥,  , 280, 克, 盒, 装,  , 老, 上海特产, 好礼,  , 健康, 好, 吃,  , 送, 礼, 体, 面",屋里香,1,"盒, 上海特产, 健康, 面",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109210
屋里香 滋补黑麻酥 松软香酥 好吃又健康 200克盒装 老上海特产好礼,"屋里香,  , 滋, 补, 黑, 麻, 酥,  , 松, 软香, 酥,  , 好, 吃, 又, 健康,  , 200, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"健康, 盒, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109107
屋里香 留香花生酥 酥软可口 香满四溢 200克盒装 老上海特产好礼,"屋里香,  , 留, 香, 花生, 酥,  , 酥, 软, 可, 口,  , 香, 满, 四, 溢,  , 200, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"花生, 盒, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109152
屋里香 百果礼饼 430克桶装 专利包装 送人体面 老上海特产好礼,"屋里香,  , 百, 果, 礼, 饼,  , 430, 克, 桶, 装,  , 专, 利, 包, 装,  , 送, 人, 体, 面,  , 老, 上海特产, 好礼",屋里香,1,"面, 上海特产",2,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108988
屋里香 美味苔香酥 280克盒装 老上海特产好礼 健康好吃 送礼体面,"屋里香,  , 美, 味, 苔, 香, 酥,  , 280, 克, 盒, 装,  , 老, 上海特产, 好礼,  , 健康, 好, 吃,  , 送, 礼, 体, 面",屋里香,1,"盒, 上海特产, 健康, 面",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109221
屋里香 腰果花生 香浓松脆 草本果仁 健康休闲 绿色食品 150克袋装 老上海特产好礼,"屋里香,  , 腰, 果, 花生,  , 香, 浓, 松, 脆,  , 草, 本, 果, 仁,  , 健康, 休闲,  , 绿, 色, 食品,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"花生, 本, 健康, 食品, 上海特产",5,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108922
屋里香 花生牛扎 台湾风味 健康休闲 好吃不停 150克袋装 老上海特产好礼,"屋里香,  , 花生, 牛, 扎,  , 台湾, 风, 味,  , 健康, 休闲,  , 好, 吃, 不, 停,  , 150, 克, 袋, 装,  , 老, 上海特产, 好礼",屋里香,1,"花生, 健康, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108853
屋里香 香溢黑麻酥 芝香浓浓 滋补养生 200克盒装 老上海特产好礼,"屋里香,  , 香, 溢, 黑, 麻, 酥,  , 芝, 香, 浓, 浓,  , 滋, 补, 养生,  , 200, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"养生, 盒, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109141
屋里香 香甜玫瑰酥 280克盒装 老上海特产好礼 健康好吃 送礼体面,"屋里香,  , 香, 甜, 玫, 瑰, 酥,  , 280, 克, 盒, 装,  , 老, 上海特产, 好礼,  , 健康, 好, 吃,  , 送, 礼, 体, 面",屋里香,1,"盒, 上海特产, 健康, 面",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109232
屋里香 香甜玫瑰酥 松软香甜 好吃又健康 200克盒装 老上海特产好礼,"屋里香,  , 香, 甜, 玫, 瑰, 酥,  , 松, 软香, 甜,  , 好, 吃, 又, 健康,  , 200, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"健康, 盒, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109118
屋里香 香醇花生酥 松软香浓 好吃又健康 200克盒装 老上海特产好礼,"屋里香,  , 香, 醇, 花生, 酥,  , 松, 软香, 浓,  , 好, 吃, 又, 健康,  , 200, 克, 盒, 装,  , 老, 上海特产, 好礼",屋里香,1,"花生, 健康, 盒, 上海特产",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109094
屋里香经典组合一 枣泥核桃糕 松仁香麻片 奶油五香豆 留香花生酥 4味经典礼盒 老上海特产好礼,"屋里香, 经, 典, 组, 合, 一,  , 枣, 泥, 核桃, 糕,  , 松, 仁, 香, 麻, 片,  , 奶, 油, 五, 香, 豆,  , 留, 香, 花生, 酥,  , 4, 味, 经, 典, 礼盒,  , 老, 上海特产, 好礼",屋里香,1,"核桃, 油, 花生, 礼盒, 上海特产",5,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109027
屋里香经典组合三 香甜玫瑰酥 滋补黑麻酥 香纯花生酥 清香薄荷酥 4味经典礼盒 老上海特产好礼,"屋里香, 经, 典, 组, 合, 三,  , 香, 甜, 玫, 瑰, 酥,  , 滋, 补, 黑, 麻, 酥,  , 香, 纯, 花生, 酥,  , 清, 香, 薄, 荷, 酥,  , 4, 味, 经, 典, 礼盒,  , 老, 上海特产, 好礼",屋里香,1,"花生, 礼盒, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109005
屋里香经典组合二 山楂核桃糕 松仁香麻卷 奶油五香豆 香溢黑麻酥 4味经典礼盒 老上海特产好礼,"屋里香, 经, 典, 组, 合, 二,  , 山, 楂, 核桃, 糕,  , 松, 仁, 香, 麻, 卷,  , 奶, 油, 五, 香, 豆,  , 香, 溢, 黑, 麻, 酥,  , 4, 味, 经, 典, 礼盒,  , 老, 上海特产, 好礼",屋里香,1,"核桃, 油, 礼盒, 上海特产",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109016
屋里香经典组合四 山楂松子糕 核桃花生糕 松仁粽子糖 桂花果仁软糖 4味经典礼盒 老上海特产好礼,"屋里香, 经, 典, 组, 合, 四,  , 山, 楂, 松, 子, 糕,  , 核桃, 花生, 糕,  , 松, 仁, 粽子糖,  , 桂花, 果, 仁, 软, 糖,  , 4, 味, 经, 典, 礼盒,  , 老, 上海特产, 好礼",屋里香,1,"核桃, 花生, 糖, 礼盒, 上海特产",5,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108999
原味肉松+酱化肉条+芝麻海苔肉松  600g,"原, 味, 肉松, +, 酱化, 肉, 条, +, 芝, 麻, 海苔, 肉松,  ,  , 600g",,0,"肉松, 海苔, 肉松",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,火神の肉,10734426
火神の肉 孜然松软肉脯 500g,"火神の肉,  , 孜, 然, 松, 软, 肉, 脯,  , 500g",火神の肉,1,,0,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,火神の肉,10775743
火神の肉 现烤孜然松软肉脯 60g,"火神の肉,  , 现烤, 孜, 然, 松, 软, 肉, 脯,  , 60g",火神の肉,1,,0,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,火神の肉,10799710
火神の肉 现烤腊味松软肉脯 500g,"火神の肉,  , 现烤, 腊, 味, 松, 软, 肉, 脯,  , 500g",火神の肉,1,,0,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,火神の肉,10775867
火神の肉 现烤腊味松软肉脯 60g,"火神の肉,  , 现烤, 腊, 味, 松, 软, 肉, 脯,  , 60g",火神の肉,1,,0,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,火神の肉,10799754
芝麻海苔肉松+蜜汁肉松+深海鱼松  600g,"芝, 麻, 海苔, 肉松, +, 蜜, 汁, 肉松, +, 深海, 鱼松,  ,  , 600g",深海,1,"海苔, 肉松, 肉松, 鱼松",4,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,火神の肉,10734415
