ProductCode,ProductName,BrandName,CategoryName,NameSubtitle,BrandWords,SplitedWords,CategoryWords
11108944,屋里香 养颜特松条 顶级松仁 养颜美味 草本果仁 健康休闲 150克袋装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,养颜,特,松,条, ,顶级,松仁, ,养颜,美味, ,草本,果仁, ,健康,休闲, ,150,克,袋装, ,老,上海特产,好礼",
11108933,屋里香 南仁芝麻 香脆可口 草本果仁 健康休闲 绿色食品 150克袋装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,南,仁,芝麻, ,香脆,可口, ,草本,果仁, ,健康,休闲, ,绿色食品, ,150,克,袋装, ,老,上海特产,好礼",
11108751,屋里香 南枣核桃 健康 绿色 美味 时尚 260克时尚银盒装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,南,枣,核桃, ,健康, ,绿色, ,美味, ,时尚, ,260,克,时尚,银,盒装, ,老,上海特产,好礼",
11108831,屋里香 南枣核桃 （不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,南,枣,核桃, ,（,不,添加,蔗糖,）,无糖,食品, ,健康,休闲, ,150,克,袋装, ,老,上海特产,好礼",
11108875,屋里香 双色果仁 软Q可口 草本果仁 健康休闲 绿色食品 150克袋装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,双色,果仁, ,软,q,可口, ,草本,果仁, ,健康,休闲, ,绿色食品, ,150,克,袋装, ,老,上海特产,好礼",
11108955,屋里香 奶油五香豆 500克桶装 专利包装 送人体面 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,奶油,五香豆, ,500,克,桶装, ,专利,包装, ,送人,体面, ,老,上海特产,好礼",五香豆
11109129,屋里香 奶油五香豆 老上海蓝色烟盒集锦 200克盒装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,奶油,五香豆, ,老上,海蓝色,烟盒,集锦, ,200,克,盒装, ,老,上海特产,好礼",五香豆
11109130,屋里香 奶油五香豆 老上海风情红妆挂历 200克盒装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,"屋里香,老上海","屋里香, ,奶油,五香豆, ,老上海,风情,红妆,挂历, ,200,克,盒装, ,老,上海特产,好礼",五香豆
11109050,屋里香 山楂松子糕 松软香浓 健康美味 200克盒装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,山楂,松子,糕, ,松软,香浓, ,健康,美味, ,200,克,盒装, ,老,上海特产,好礼",
11108842,屋里香 山楂松子（不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,山楂,松子,（,不,添加,蔗糖,）,无糖,食品, ,健康,休闲, ,150,克,袋装, ,老,上海特产,好礼",
11109196,屋里香 山楂核桃糕 软Q香浓 美味不停 200克盒装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,山楂,核桃糕, ,软,q,香浓, ,美味,不停, ,200,克,盒装, ,老,上海特产,好礼",核桃糕
11109049,屋里香 松仁粽子糖 晶莹剔透 焦香诱人 200克盒装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,松仁,粽子糖, ,晶莹剔透, ,焦,香,诱人, ,200,克,盒装, ,老,上海特产,好礼",
11108795,屋里香 松仁粽子糖（不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,松仁,粽子糖,（,不,添加,蔗糖,）,无糖,食品, ,健康,休闲, ,150,克,袋装, ,老,上海特产,好礼",
11109163,屋里香 松仁香麻卷 香甜软Q 美味健康 150克盒装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,松仁,香,麻,卷, ,香甜,软,q, ,美味,健康, ,150,克,盒装, ,老,上海特产,好礼",
11109174,屋里香 松仁香麻片 松香浓浓 片片香脆 150克盒装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,松仁,香,麻,片, ,松香,浓浓, ,片片,香脆, ,150,克,盒装, ,老,上海特产,好礼",
11108886,屋里香 松子（白）芝麻薄片 香脆可口 健康休闲 绿色食品 150克袋装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,松子,（,白,）,芝麻,薄片, ,香脆,可口, ,健康,休闲, ,绿色食品, ,150,克,袋装, ,老,上海特产,好礼",
11108808,屋里香 松子（白）芝麻薄片（不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,松子,（,白,）,芝麻,薄片,（,不,添加,蔗糖,）,无糖,食品, ,健康,休闲, ,150,克,袋装, ,老,上海特产,好礼",
11108897,屋里香 松子（白）芝麻薄皮 软Q香甜 健康休闲 绿色食品 150克袋装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,松子,（,白,）,芝麻,薄,皮, ,软,q,香甜, ,健康,休闲, ,绿色食品, ,150,克,袋装, ,老,上海特产,好礼",
11108819,屋里香 松子（白）芝麻薄皮（不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,松子,（,白,）,芝麻,薄,皮,（,不,添加,蔗糖,）,无糖,食品, ,健康,休闲, ,150,克,袋装, ,老,上海特产,好礼",
11108900,屋里香 松子（黑）芝麻薄皮 软Q香甜 健康休闲 绿色食品 150克袋装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,松子,（,黑,）,芝麻,薄,皮, ,软,q,香甜, ,健康,休闲, ,绿色食品, ,150,克,袋装, ,老,上海特产,好礼",
11109209,屋里香 松软纯豆酥 280克盒装 老上海特产好礼 健康好吃 送礼体面,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,松软,纯,豆,酥, ,280,克,盒装, ,老,上海特产,好礼, ,健康,好吃, ,送礼,体面",
11108762,屋里香 松麻核桃 健康 绿色 美味 时尚 260克时尚银盒装 老上海特产好礼,屋里香,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,,屋里香,"屋里香, ,松,麻,核桃, ,健康, ,绿色, ,美味, ,时尚, ,260,克,时尚,银,盒装, ,老,上海特产,好礼",
