商品名,分词结果,品牌词,品牌数,类别词,类别数,原始类别,原始品牌,商品CODE,标注类别词
屋里香 山楂核桃糕 软Q香浓 美味不停 200克盒装 老上海特产好礼,"屋里香, 山楂, 核桃糕, 软, Q, 香浓, 美味, 不停, 200, 克, 盒装, 老, 上海特产, 好, 礼",屋里香,1,上海特产,1,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11109196,核桃糕
屋里香 松麻核桃 健康 绿色 美味 时尚 260克时尚银盒装 老上海特产好礼,"屋里香, 松, 麻, 核桃, 健康, 绿色, 美味, 时尚, 260, 克, 时尚, 银, 盒装, 老, 上海特产, 好, 礼",屋里香,1,"核桃, 健康, 上海特产",3,0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产,屋里香,11108762,核桃
【艺福堂】精选茗茶 2011年新茶叶 明前绿茶 苏州特级洞庭碧螺春45g 抢鲜上市,"【, 艺福堂, 】, 精选, 茗茶, 2011, 年, 新, 茶叶, 明, 前, 绿茶, 苏州, 特级, 洞庭, 碧螺春, 45g, 抢鲜, 上市",艺福堂,1,"茶叶, 绿茶, 苏州",3,0-5135-17242-17247:食品、饮料、酒水-地方特产-江苏特产,艺福堂,11010074,"茶叶, 绿茶"
艺福堂绿茶叶-2011年新 正宗明前洞庭碧螺春茶一级 50g/罐,"艺福堂, 绿, 茶叶, -2011, 年, 新, 正宗, 明, 前, 洞庭, 碧, 螺, 春茶, 一级, 50g, /, 罐",艺福堂,1,"茶叶, 螺, 罐",3,0-5135-17242-17247:食品、饮料、酒水-地方特产-江苏特产,艺福堂,11083924,茶叶
苏州采芝斋 席枣桃软糖 散装 250g,"苏州采芝斋, 席, 枣, 桃, 软糖, 散装, 250g",苏州采芝斋,1,,0,0-5135-17242-17247:食品、饮料、酒水-地方特产-江苏特产,苏州采芝斋,10711485,软糖
苏州采芝斋 手指饼 盒装 210g,"苏州采芝斋, 手指, 饼, 盒装, 210g",苏州采芝斋,1,,0,0-5135-17242-17247:食品、饮料、酒水-地方特产-江苏特产,苏州采芝斋,10711065,饼
苏州采芝斋 精品特级松仁桂圆软糖 散装 250g,"苏州采芝斋, 精品, 特级, 松仁, 桂圆, 软糖, 散装, 250g",苏州采芝斋,1,,0,0-5135-17242-17247:食品、饮料、酒水-地方特产-江苏特产,苏州采芝斋,10711689,软糖
苏州采芝斋 精品特级松仁糖 混合散装 250g,"苏州采芝斋, 精品, 特级, 松仁, 糖, 混合, 散装, 250g",苏州采芝斋,1,糖,1,0-5135-17242-17247:食品、饮料、酒水-地方特产-江苏特产,苏州采芝斋,10711190,糖
苏州采芝斋 肉松苏饼 2只装 100g,"苏州采芝斋, 肉松, 苏, 饼, 2, 只装, 100g",苏州采芝斋,1,肉松,1,0-5135-17242-17247:食品、饮料、酒水-地方特产-江苏特产,苏州采芝斋,10711281,肉松
苏州采芝斋 葱油桃酥 散装 500g,"苏州采芝斋, 葱油, 桃酥, 散装, 500g",苏州采芝斋,1,,0,0-5135-17242-17247:食品、饮料、酒水-地方特产-江苏特产,苏州采芝斋,10711123,桃酥
苏州采芝斋 贝母贡糖 50g,"苏州采芝斋, 贝母, 贡, 糖, 50g",苏州采芝斋,1,糖,1,0-5135-17242-17247:食品、饮料、酒水-地方特产-江苏特产,苏州采芝斋,10711974,糖
苏州采芝斋 采芝松子喜糖 金盒装 36g,"苏州采芝斋, 采, 芝, 松子, 喜糖, 金, 盒装, 36g",苏州采芝斋,1,喜糖,1,0-5135-17242-17247:食品、饮料、酒水-地方特产-江苏特产,苏州采芝斋,10711963,喜糖
苏州采芝斋 黑芝麻苏饼 2只装 100g,"苏州采芝斋, 黑芝麻, 苏, 饼, 2, 只装, 100g",苏州采芝斋,1,,0,0-5135-17242-17247:食品、饮料、酒水-地方特产-江苏特产,苏州采芝斋,10711258,
逸趣酱牛肉片 温州风味 入口甜 回味浓 248克,"逸趣, 酱, 牛, 肉片, 温州, 风味, 入口, 甜, 回味, 浓, 248, 克",逸趣,1,温州,1,0-5135-17242-17247:食品、饮料、酒水-地方特产-江苏特产,逸趣,10719898,
