词组,词性,同义词,扩展词
绿色,"	颜色",,
枪托色,"	颜色",,
白色,"	颜色",,
蓝色,"	颜色",,
黑檀色,"	颜色",,
粉色,"	颜色",,
胡桃木色,"	颜色",,
卡其色,"	颜色",,
米黄色,"	颜色",,
蓝色素色,"	颜色",,
暗红色,"	颜色",,
蓝灰色,"	颜色",,
原蓝色,"	颜色",,
银白色,"	颜色",,
紫红色,"	颜色",,
银色,"	颜色",,
枚红色,"	颜色",,
驼色,"	颜色",,
浅桃红色,"	颜色",,
深麻灰色,"	颜色",,
浅棕色,"	颜色",,
浅粉色,"	颜色",,
红波点色,"	颜色",,
大粉红色,"	颜色",,
花瓣粉红色,"	颜色",,
冠军红色,"	颜色",,
肉桂色,"	颜色",,
湖绿色,"	颜色",,
卡其绿色,"	颜色",,
亮浅粉红色,"	颜色",,
浅啡色,"	颜色",,
冰蓝色,"	颜色",,
麻灰色,"	颜色",,
黒色,"	颜色",,
玫瑰红色,"	颜色",,
天空蓝色,"	颜色",,
水兰色,"	颜色",,
灰花色,"	颜色",,
中花灰印花色,"	颜色",,
玉米色,"	颜色",,
粉红细竖纹色,"	颜色",,
浅花灰色,"	颜色",,
梅红色,"	颜色",,
花色,"	颜色",,
绿色丈青撞色,"	颜色",,
暗绿色,"	颜色",,
绿底白点色,"	颜色",,
果仁色,"	颜色",,
轻洗牛仔蓝色,"	颜色",,
砂色色,"	颜色",,
珊瑚色,"	颜色",,
琥珀色,"	颜色",,
图色,"	颜色",,
肉色,"	颜色",,
叶绿色,"	颜色",,
水幽蓝色,"	颜色",,
香槟色,"	颜色",,
黄格色,"	颜色",,
黄棕色,"	颜色",,
褐色,"	颜色",,
棕黑色,"	颜色",,
白间绿色,"	颜色",,
天堂粉色,"	颜色",,
炭色色,"	颜色",,
淡紫色,"	颜色",,
奶油色,"	颜色",,
牛仔深蓝色,"	颜色",,
亮黄色,"	颜色",,
亮蓝色,"	颜色",,
蓝白条纹色,"	颜色",,
黑加白色,"	颜色",,
中中灰色,"	颜色",,
黄金色,"	颜色",,
红锈色,"	颜色",,
花灰竖纹色,"	颜色",,
深海蓝色,"	颜色",,
浅灰蓝色,"	颜色",,
黑藏青色,"	颜色",,
淡红花纱格子色,"	颜色",,
柠檬黄格子色,"	颜色",,
紫罗兰纱染格子色,"	颜色",,
宝石红格子色,"	颜色",,
灰黑竖纹色,"	颜色",,
紫黄条色,"	颜色",,
透蓝色,"	颜色",,
赭黄色,"	颜色",,
炭黑色,"	颜色",,
驼印花色,"	颜色",,
深驼色,"	颜色",,
玉色,"	颜色",,
晴紫色,"	颜色",,
黄绿色,"	颜色",,
黄玉色,"	颜色",,
米白黄色,"	颜色",,
灰黑色,"	颜色",,
橙色,"	颜色",,
酒红色,"	颜色",,
浅蓝色,"	颜色",,
枪色,"	颜色",,
米色,"	颜色",,
中卡其色,"	颜色",,
粉红色,"	颜色",,
花岗岩灰色,"	颜色",,
草坪绿色,"	颜色",,
暗卡其色,"	颜色",,
中花灰色,"	颜色",,
紫雨紫色,"	颜色",,
葡萄紫色,"	颜色",,
金色,"	颜色",,
合金灰色,"	颜色",,
深花灰色,"	颜色",,
桔黄色,"	颜色",,
锡色,"	颜色",,
浅粉红色,"	颜色",,
象牙色,"	颜色",,
天堂红色,"	颜色",,
米驼色,"	颜色",,
白灰色,"	颜色",,
紫黑色,"	颜色",,
红白色,"	颜色",,
浅紫色,"	颜色",,
碧绿色,"	颜色",,
棕红色,"	颜色",,
淡粉色,"	颜色",,
醇蓝色,"	颜色",,
浅牛仔蓝色,"	颜色",,
浅水绿色,"	颜色",,
靛青色,"	颜色",,
黒蓝色,"	颜色",,
绛红色,"	颜色",,
竹节蓝色,"	颜色",,
黑白格子色,"	颜色",,
彩兰色,"	颜色",,
虾肉色,"	颜色",,
蓝白条色,"	颜色",,
皇家蓝竖纹色,"	颜色",,
米白丈青撞色,"	颜色",,
渐变紫色,"	颜色",,
黑灰花色,"	颜色",,
黑白渐变色,"	颜色",,
古浅蓝色,"	颜色",,
幽蓝色,"	颜色",,
湖水蓝色,"	颜色",,
金黄色,"	颜色",,
黑白条色,"	颜色",,
肉粉色,"	颜色",,
冬白色,"	颜色",,
奶白色,"	颜色",,
豆绿色,"	颜色",,
酱紫色,"	颜色",,
中款咖啡色,"	颜色",,
午夜黑色,"	颜色",,
白加粉色,"	颜色",,
奶色,"	颜色",,
重洗蓝色,"	颜色",,
蓝棕色,"	颜色",,
紫灰色,"	颜色",,
深兰色,"	颜色",,
灰紫色,"	颜色",,
粉金色,"	颜色",,
庄严紫色,"	颜色",,
深天蓝色,"	颜色",,
浅米咖色,"	颜色",,
莓紫色,"	颜色",,
粉色红色,"	颜色",,
灰红色,"	颜色",,
闪亮黑色,"	颜色",,
灰黑格色,"	颜色",,
蓝银灰色,"	颜色",,
天堂玫瑰红色,"	颜色",,
香料橙色,"	颜色",,
混凝土黑色,"	颜色",,
海豚蓝色,"	颜色",,
花灰细竖纹色,"	颜色",,
黑灰细竖纹色,"	颜色",,
核桃色,"	颜色",,
濛濛灰色,"	颜色",,
紫底白条色,"	颜色",,
紫罗兰格子色,"	颜色",,
深蓝格子色,"	颜色",,
蓝白渐变色,"	颜色",,
白色,"	颜色",,
白灰条色,"	颜色",,
黑红格色,"	颜色",,
黑红条色,"	颜色",,
兰黄条色,"	颜色",,
黑绿条色,"	颜色",,
绿黄条色,"	颜色",,
白金七彩色,"	颜色",,
浅银色,"	颜色",,
中紫色,"	颜色",,
中粉红色,"	颜色",,
中橙色,"	颜色",,
火红色,"	颜色",,
墨绿印绿色,"	颜色",,
水银黑色,"	颜色",,
米白蓝色,"	颜色",,
檀木色,"	颜色",,
黑色,"	颜色",,
黑胡桃色,"	颜色",,
本色,"	颜色",,
黑灰色,"	颜色",,
灰绿色,"	颜色",,
春天白色,"	颜色",,
中灰色,"	颜色",,
靛蓝色,"	颜色",,
深泽蓝色,"	颜色",,
水蓝色,"	颜色",,
橙蓝色,"	颜色",,
爱国者蓝色,"	颜色",,
双绞黑色,"	颜色",,
孔雀蓝色,"	颜色",,
深牛仔蓝色,"	颜色",,
青莲色,"	颜色",,
细条深蓝色,"	颜色",,
大红色,"	颜色",,
枣红色,"	颜色",,
米粉色,"	颜色",,
深深蓝色,"	颜色",,
天然蓝色,"	颜色",,
芥末黄色,"	颜色",,
白紫条色,"	颜色",,
灰色色,"	颜色",,
碳黑色,"	颜色",,
茄紫色,"	颜色",,
暗蓝色,"	颜色",,
